제목,내용
"아이브 <b>가을</b>, 블랙홀 눈빛 [화보]","
 
[사진 제공 = 더블유 코리아] 
[사진 제공 = 더블유 코리아] 
[사진 제공 = 더블유 코리아] 
[사진 제공 = 더블유 코리아]그룹 아이브(IVE) 가을이 패션 잡지 더블유 코리아(W Korea) 화보를 공개했다.화보 속 가을은 시크한 매력을 살린 청청 패션에 브랜드의 로고 디테일이 돋보이는 미니멀하고 기하학적인 디자인의 가방을 매치한 캐주얼한 스타일링과 함께 특유의 고급스러운 아우라를 발산해 시선을 압도했다. 가을의 화려한 이목구비가 돋보이는 클로즈업 컷 또한 눈길을 끌었다. 또 우아하면서도 섹시한 레오파드 패턴 원피스에 청바지를 믹스 매치한 파격적인 스타일링까지 자신만의 매력으로 완벽 소화해냈다.가을은 전매특허인 깊은 눈빛과 모델 같은 능숙한 포즈, 풍부한 표정 연기로 화보를 완성했다. 가을의 더 많은 화보는 더블유 코리아 웹사이트에서 만나볼 수 있다.동아닷컴 전효진 기자 jhj@donga.com
"
"아이브 <b>가을</b>, 돌체앤가바나 화보 공개","
 
[서울=뉴시스] 그룹 아이브(IVE) 가을. 23.05.30. (사진=더블유 코리아 제공) photo@newsis.com *재판매 및 DB 금지[서울=뉴시스]문예빈 인턴 기자 = 그룹 아이브 가을이 브랜드 돌체앤가바나와 패션 매거진 더블유 코리아(W Korea)와 함께한 화보를 공개했다.공개된 화보 속 가을은 상의와 하의를 청으로 맞춰 입고 기하학적인 디자인의 가방과 조화를 선보였다. 또 다른 컷에서는 호피 패턴 원피스에 청바지를 조합, 가을만의 매력으로 소화해냈다.가을의 더 많은 화보는 더블유 코리아 웹사이트에서 만나볼 수 있다. 
[서울=뉴시스] 그룹 아이브(IVE) 가을. 23.05.30. (사진=더블유 코리아 제공) photo@newsis.com *재판매 및 DB 금지  
[서울=뉴시스] 그룹 아이브(IVE) 가을. 23.05.30. (사진=더블유 코리아 제공) photo@newsis.com *재판매 및 DB 금지
"
"아이브 <b>가을</b>, 청청 믹스매치[화보]","
 
아이브 가을 화보. 더블유 코리아 제공. 
아이브 가을 화보. 더블유 코리아 제공. 
아이브 가을 화보. 더블유 코리아 제공. 
아이브 가을 화보. 더블유 코리아 제공.그룹 아이브(IVE) 가을이 화보를 통해 ‘무결점 미모’의 정석을 보여줬다.이탈리아 럭셔리 브랜드 돌체앤가바나는 29일 패션 매거진 더블유 코리아(W Korea)를 통해 가을과 함께한 화보를 공개했다.공개된 화보 속 가을은 시크한 매력을 살린 청청 패션에 브랜드의 로고 디테일이 돋보이는 미니멀하고 기하학적인 디자인의 가방을 매치한 캐주얼한 스타일링과 함께 특유의 고급스러운 아우라를 발산해 시선을 압도했다.가을의 화려한 이목구비가 돋보이는 클로즈업 컷 또한 눈길을 끌었다. 또 다른 컷에서는 우아하면서도 섹시한 레오파드 패턴 원피스에 청바지를 믹스 매치한 파격적인 스타일링까지 자신만의 매력으로 완벽 소화해 내며 차세대 ‘화보 장인’의 진면모를 뽐냈다.가을의 전매특허인 깊은 눈빛과 모델 같은 능숙한 포즈, 풍부한 표정 연기가 어우러진 치명적인 화보에 글로벌 팬들의 폭발적인 반응이 쏟아지고 있다.가을의 더 많은 화보는 더블유 코리아 웹사이트에서 만나볼 수 있다.한편, 가을이 속한 아이브는 지난달 10일 첫 번째 정규 앨범 ‘아이해브 아이브(I’ve IVE)‘를 발매하고 타이틀곡 ’아이엠(I AM)‘으로 각종 음반, 음원 차트를 올킬하며 ’MZ 워너비 아이콘‘의 진가를 입증했다.이유민 온라인기자 dldbals5252@kyunghyang.com
			"
"아이브 <b>가을</b>, &apos;아이 엠&apos; <b>가을</b> [SE★포토]","
 
그룹 아이브(IVE) 가을이 31일 오후 서울 강남구 돌체앤가바나 청담플래그십에서 진행된 명품 패션 브랜드 돌체앤가바나 ‘DG 로고 백 세컨드 푸시 캠페인’ 기념 포토콜에서 포즈를 취하고 있다. 김규빈 기자[서울경제] 그룹 아이브(IVE) 가을이 31일 오후 서울 강남구 돌체앤가바나 청담플래그십에서 진행된 명품 패션 브랜드 돌체앤가바나 ‘DG 로고 백 세컨드 푸시 캠페인’ 기념 포토콜에서 포즈를 취하고 있다.
"
"IVE <b>가을</b>, 눈부신 비주얼 [포토엔HD]","
 
[뉴스엔 이재하 기자] 5월31일 오후 패션 브랜드 런칭 포토월에 IVE 가을, NCT 도영, 혜리, 몬스타엑스 셔누, 나나, 안보현, 고민시, 기은세, 배인혁, 오예주등이  참석하여 사진 포즈를 취하고 있다. 

"
[T포토] <b>가을</b> &apos;순백의 천사&apos;,"
 
그룹 '아이브' 가을이 31일 오후 서울 강남구에서 열린 한 패션 브랜드 포토콜 행사에 참석해 포즈를 취하고 있다.오민아 기자  
"
"아이브 <b>가을</b>, 키치한 볼 하트 [SE★포토]","
 
그룹 아이브(IVE) 가을이 31일 오후 서울 강남구 돌체앤가바나 청담플래그십에서 진행된 명품 패션 브랜드 돌체앤가바나 ‘DG 로고 백 세컨드 푸시 캠페인’ 기념 포토콜에서 포즈를 취하고 있다. 김규빈 기자[서울경제] 그룹 아이브(IVE) 가을이 31일 오후 서울 강남구 돌체앤가바나 청담플래그십에서 진행된 명품 패션 브랜드 돌체앤가바나 ‘DG 로고 백 세컨드 푸시 캠페인’ 기념 포토콜에서 포즈를 취하고 있다.
"
"아이브 <b>가을</b>, 수줍은 미소 [SE★포토]","
 
그룹 아이브(IVE) 가을이 31일 오후 서울 강남구 돌체앤가바나 청담플래그십에서 진행된 명품 패션 브랜드 돌체앤가바나 ‘DG 로고 백 세컨드 푸시 캠페인’ 기념 포토콜에서 포즈를 취하고 있다. 김규빈 기자[서울경제] 그룹 아이브(IVE) 가을이 31일 오후 서울 강남구 돌체앤가바나 청담플래그십에서 진행된 명품 패션 브랜드 돌체앤가바나 ‘DG 로고 백 세컨드 푸시 캠페인’ 기념 포토콜에서 포즈를 취하고 있다.
"
"아이브 <b>가을</b>, 키치한 볼 하트 [SE★포토]","
 
그룹 아이브(IVE) 가을이 31일 오후 서울 강남구 돌체앤가바나 청담플래그십에서 진행된 명품 패션 브랜드 돌체앤가바나 ‘DG 로고 백 세컨드 푸시 캠페인’ 기념 포토콜에서 포즈를 취하고 있다. 김규빈 기자[서울경제] 그룹 아이브(IVE) 가을이 31일 오후 서울 강남구 돌체앤가바나 청담플래그십에서 진행된 명품 패션 브랜드 돌체앤가바나 ‘DG 로고 백 세컨드 푸시 캠페인’ 기념 포토콜에서 포즈를 취하고 있다.
"
"아이브 <b>가을</b>, 수줍은 미소 [SE★포토]","
 
그룹 아이브(IVE) 가을이 31일 오후 서울 강남구 돌체앤가바나 청담플래그십에서 진행된 명품 패션 브랜드 돌체앤가바나 ‘DG 로고 백 세컨드 푸시 캠페인’ 기념 포토콜에서 포즈를 취하고 있다. 김규빈 기자[서울경제] 그룹 아이브(IVE) 가을이 31일 오후 서울 강남구 돌체앤가바나 청담플래그십에서 진행된 명품 패션 브랜드 돌체앤가바나 ‘DG 로고 백 세컨드 푸시 캠페인’ 기념 포토콜에서 포즈를 취하고 있다.
"
