제목,내용
[트렌D] 한여름 앞두고 <b>겨울</b>패딩 찾는 ‘청개구리 쇼핑’ 이유는?,"





CJ온스타일 ‘셀렙샵 에디션’이 6월2일 2023년 역시즌 신제품을 출시한다. [사진=CJ온스타일][디지털데일리 이안나 기자] 한여름을 앞두고 온·오프라인 커머스 업체들은 각종 기획전을 진행하느라 분주합니다. 연휴와 휴가철 대비를 위한 여름 상품 할인에 돌입한 겁니다. 이런 와중에 요즘 계절과 전혀 어울리지 않는 겨울용품을 판매하는 곳들이 있습니다. 신기하게 판매도 ‘불티’ 난다고 하는데요. 여름에 겨울 상품 수요가 많다는 의미겠죠.CJ온스타일은 무더위가 일찍 찾아오자 역시즌 편성을 앞당겼는데요. 지난 22일 패션 브랜드 ‘셀렙샵 에디션’ 방송에서 올해 봄여름(SS) 유럽 램스킨 자켓을 선보였는데, 30분만에 1억원이 넘게 판매됐습니다. CJ온스타일은 8월 초까지 역시즌 방송을 지속 편성하며 프리미엄 패션 상품을 합리적인 가격으로 구매할 수 있도록 방송을 편성한다는 계획입니다. 다음달 초엔 2023년 역시즌 신제품을 처음 공개합니다.여름에 상대적으로 수요가 적은 겨울상품을 구매하면 보다 저렴한 가격에 구매할 수 있다는 게 가장 큰 장점입니다. 역시즌 마케팅은 유통업계가 매년 진행하는 행사이기도 합니다. 겨울상품은 계절이 지나면 재고가 되는데, 그 재고를 처리하기 위해 역시즌 때 높은 할인율을 적용해 판매하는 겁니다. 재고를 처리하는 기업도, 저렴하게 구매하는 소비자도 모두 좋습니다. 물론 역시즌 행사 때 재고 상품만 판매하는 것은 아닙니다. CJ온스타일처럼 올겨울 신상품을 미리 기획해 판매하기도 합니다. 신제품을 보다 저렴하게 제공할 수 있는 이유는 ‘비수기’를 활용했기 때문입니다. 역시즌 상품은 공장 가동이 몰리는 가을을 피해 패션 비수기인 여름에 겨울옷을 제조함으로써 원가를 낮출 수 있습니다. 고객 입장에서는 같은 소재 옷을 겨울에 구매하는 것보다 10~20% 저렴하게 쇼핑할 수 있습니다. 기업 입장에선 그해 가을·겨울 패션 트렌드를 역시즌에 선보여 고객 반응을 살피고 신상품 기획에 반영할 수도 있죠.CJ온스타일 측은 “6~8월은 여름 휴가 등으로 인해 패션 판매가 줄고 여름 옷 단가도 낮아 대표적인 카테고리 비수기로 통한다”며 “역시즌 패션 상품 판매는 패션 업계 비수기 극복을 위한 하나의 뉴노멀이 되었다”고 말했습니다.



고객이 이마트24 매장에서 크리스마스 트리를 주문하고 있다. [사진=이마트24]백화점이나 편의점에서도 역시즌 마케팅이 한창입니다. 신세계백화점에 따르면 예년보다 한달 빨리 시작한 겨울 패딩 행사가 성황을 이루고 있습니다. 온라인몰인 SSG닷컴을 통해 K2, 네파, 코오롱스포츠 등 인기 아웃도어 브랜드 상품을 최초 가격대비 최대 70% 할인된 가격에 구매할 수 있습니다.이달 1일부터 선보이고 있는 인기 아웃도어 역시즌 행사는 21일까지 전년동기대비 221.2% 높은 매출 신장률을 기록했습니다. 이에 6월까지 겨울 패딩 역시즌 행사를 계속 진행하기로 했습니다.편의점 이마트24도 30도를 오르내리는 5월에 크리스마스 트리를 판매하고 있습니다. 이달 말일까지 높이 180cm 대형 크기 ‘제이닷 프리미엄 크리스마스트리’를 판매하는데요. 잎의 수도 일반 트리 대비해 10배 이상 많아 ‘진짜’ 나무 같은 느낌을 준다고 합니다. 시중에서 무려 60만원에 판매하는 상품인데, 행사 기간 구입 시 34% 가량을 할인해줍니다.패딩이나 크리스마스 트리는 한번 구입하면 오래 사용할 수 있으니, 품질 좋은 상품을 할인 된 가격에 구매할 수 있는 기회가 되는 것이죠. 특히 고물가로 지갑 열기가 부담스러운 요즘 같은 시기엔 높은 할인율이 더 주목을 끌 수밖에 없고요. 고객들도 밍크·무스탕 등 대표 겨울 소재 의류를 쇼핑하며 일명 계절을 거스르는 ‘청개구리 쇼핑’을 하나의 자연스로운 트렌드로 받아들이는 모습입니다.

"
K<b>패션</b>·예술이 만나 더 특별한 행사,"

			롯데백화점이 한국의 패션·아트가 어우러진 특별한 행사를 펼친다.24일 롯데백화점에 따르면 국내 인기 디자이너 브랜드 잉크(EENK)와 협업해 제작한 11개 스타일의 단독 상품과 2023 가을·겨울(FW) 컬렉션 24종을 선보인다.롯데백화점의 하이엔드 편집숍 엘리든·롯데갤러리가 공동 주관하는 이 행사에서는 셔링 블라우스, 오버핏 싱글 코트 등 올해 가을·겨울에 인기를 끌 것으로 예상되는 패션을 소개한다.패션 상품은 오는 25일 단 하루 에비뉴엘 잠실점 6층 롯데갤러리에 진열·전시 판매되며, 온라인몰에서는 28일까지 사전 예약 주문을 받는다.잉크는 메시지와 이미지를 출력할 때 매개체 역할을 한다는 의미를 담은 이혜미 디자이너의 패션 브랜드로 국내를 넘어 중국·유럽 등에서도 명성을 얻고 있다.롯데백화점은 오는 25일 잠실롯데타워 야외 미디어큐브 앞에서 잉크 패션쇼도 연다. 사진과 그래픽을 활용한 조각으로 유명한 권오상 작가의 에어 매스(공기주입식 대형 작품)로 6m에 달하는 작품 사이로 모델들이 걸으며 이색적인 분위기를 연출한다.권 작가는 잠실점 6층 롯데갤러리에서 7월 16일까지 개인전도 연다.롯데백화점 관계자는 “사전 예약기간에 온·오프라인을 통해 상품을 구매하는 고객에게는 30% 할인 혜택을 제공한다”면서 “고객에게는 상품을 가을쯤 전달할 예정”이라고 말했다.



롯데백화점

"
"롯데百, 브랜드 &apos;잉크&apos; 행사…&quot;기획 상품에 <b>패션</b>쇼도&quot;","

기사내용 요약엘리든 등과 협업…권오상 대형 작품도



[서울=뉴시스](사진=롯데백화점 제공)[서울=뉴시스] 심동준 기자 = 롯데백화점은 패션 편집숍 엘리든, 롯데갤러리 등과 함께 아트, 패션 접목 행사를 벌인다고 24일 밝혔다. 이번 행사에선 디자이너 브랜드 잉크(EENK)와 권오상 작가가 협업한 상품, 아트 전시, 패션쇼 등이 전개된다. 먼저 롯데백화점과 잉크가 협업해 선별, 기획한 상품을 판매한다. 단독 상품 11개와 잉크의 2023년 가을·겨울 상품 24종을 여기서 공개한다. 상품은 에비뉴엘 잠실점 6층 롯데갤러리에서 하고 있는 권오상 작가의 '에어매스: 바람이 다니는 길' 전시장에서 25일 하루 전시하고 예약 판매한다.롯데백화점 온라인몰에선 '엘리든X잉크X권오상 2023 가을·겨울기획전'을 한다. 여기선 28일까지 예약 구매를 할 수 있다. 온·오프라인 경로로 사전 예약 주문 기간에 구매하는 소비자에겐 30% 할인가를 적용한다. 상품은 가을에 전달할 예정이다. 이번 행사에선 권오상 작품과 접목한 잉크 패션쇼도 열린다. 권 작가는 이른바 사진 조각으로 알려져 있는데, 이번엔 약 6m 크기의 공기주입식 대형 작품을 제작했다.패션쇼는 25일 오후 7시30분부터 잠실롯데타워 야외 미디어 큐브 앞에서 진행한다. 모델들은 대형 작품 사이를 걷게 될 예정이다. 롯데백화점은 아트와 패션을 접목한 다른 행사도 예정 중이다. 올 하반기 엘리든을 통해 추가 '아트&패션' 프로젝트를 하겠다는 계획이다.

"
"K<b>패션</b>과 예술이 뭉쳤다…롯데백화점, 국내브랜드 잉크와 기획전","

			(서울=연합뉴스) 전성훈 기자 = 롯데백화점은 국내 인기 디자이너 브랜드 잉크(EENK)와 협업해 제작한 11개 스타일의 단독 상품과 2023 가을·겨울(F/W) 컬렉션 24종을 선보인다고 24일 밝혔다.     롯데백화점의 하이엔드 편집숍 엘리든·롯데갤러리가 공동 주관하는 이 행사에서는 셔링 블라우스, 오버핏 싱글 코트 등 올해 가을·겨울에 인기를 끌 것으로 예상되는 상품들이 고객들을 맞는다.     상품은 에비뉴엘 잠실점 6층 롯데갤러리에 진열·전시되며 현장에서는 25일까지, 온라인몰에서는 28일까지 사전 예약 주문을 받는다.



[롯데백화점 제공. 재판매 및 DB 금지]잉크는 메시지와 이미지를 출력할 때 매개체 역할을 한다는 의미를 담은 이혜미 디자이너의 패션 브랜드로, 국내를 넘어 중국·유럽 등에서도 명성을 얻고 있다.     롯데백화점은 25일 잠실롯데타워 야외 미디어큐브 앞에서 잉크 패션쇼도 연다. 사진과 그래픽을 활용한 조각으로 유명한 권오상 작가의 대형 작품이 런웨이를 장식해 눈길을 끌 전망이다.     권 작가는 롯데갤러리에서 7월 16일까지 개인전을 한다.     롯데백화점은 이번 이벤트를 계기로 K-아트와 K-패션이 어우러지는 다양한 프로젝트를 선보일 계획이라고 전했다.     lucho@yna.co.kr

"
"롯데백화점, K<b>패션</b>·아트 협업 프로젝트 선봬","





롯데백화점의 편집숍 엘리든이 롯데갤러리와 협업 프로젝트를 진행한다. /롯데백화점         롯데백화점의 하이엔드 패션 편집숍인 ‘엘리든’과 ‘롯데갤러리’의 협업 프로젝트를 선보인다고 24일 밝혔다. 국내 인기 디자이너 브랜드 잉크와 사진 조각의 거장 권오상 작가가 함께 작업한 상품과 아트 전시, 패션쇼가 어우러진 행사다.잉크와 협업해 제작한 11개 스타일의 단독 상품과 2023 가을·겨울 상품 24종을 선보인다. 상품은 에비뉴엘 잠실점 6층 롯데갤러리에 열리는 권오상 작가의 전시장에 전시되며 현장에서는 25일까지, 온라인몰에서는 28일까지 사전 예약 주문을 받는다.아울러 권오상 작가의 작품과 어우러진 패션쇼도 선보인다. 권 작가는 잉크의 F/W 시즌 패턴에서 영감을 받아 대형 ‘에어 매스’(공기주입식 대형 작품) 조각을 제작했다.롯데백화점은 이번 이벤트를 시작으로 K-아트와 K-패션이 어우러지는 다양한 프로젝트를 선보일 계획이다.우순형 롯데백화점 PB부문장은 “앞으로도 다양한 협업을 통해 엘리든을 국내를 대표하는 K-하이엔드 패션 플랫폼으로 키워나갈 것”이라고 말했다.

"
한여름 앞두고 <b>겨울</b> 패딩 동 났다,"

			[이데일리 정병묵 기자] 신세계백화점이 예년보다 한 달 빨리 시작한 겨울 패딩 행사가 성황을 이루고 있다. 



블랙야크 아우터(사진=신세계)쓱닷컴을 통해 이달 1일부터 선보이고 있는 아웃도어 역시즌 행사가 21일까지 221.2%의 높은 매출 신장률을 기록중이다.K2, 네파, 코오롱스포츠 등 인기 아웃도어 브랜드의 상품을 최초 가격대비 최대 70% 할인된 가격에 구매할 수 있다.대표상품으로는 K2 ‘씬에어 구스다운’ 15만원대, 네파 ‘숏 구스 다운’ 5만원대, 코오롱스포츠 ‘안타티카 다운’ 40만원대가 있다.이처럼 합리적인 소비가 주목 받으며 역시즌 마케팅도 빨라지고 있다.추울 때 봐 두었던 겨울 패딩을 따뜻한 봄과 여름에 높은 할인율로 살 수 있어 해마다 역시즌 상품을 찾는 ‘체리슈머’ 고객들이 늘고 있기 때문이다.최근 떠오른 ‘체리슈머’라는 말은 ‘체리피커’와 ‘컨슈머’를 합친 신조어로 실속형 가치소비를 중요하게 생각하는 고객들이다.신세계백화점은 오는 6월까지 쓱닷컴 겨울 패딩 역시즌 행사를 계속 펼친다.먼저 5월 22일부터 28일까지 10% 추가 할인쿠폰을 지급하는 등 겨울 패딩 행사의 열기를 이어간다는 계획이다.K2 ‘숏 구스다운’은 12만원대, 코오롱스포츠의 업라이트, 밀레의 남성 헤비 구스다운 등은 최대 70% 할인된 가격으로 소개된다.또 6월에는 ‘스포츠 쓱세일’을 열고 노스페이스, 디스커버리, 내셔널지오그래픽 등 MZ 인기 브랜드를 합리적인 가격에 판매할 예정이다.‘스포츠 쓱세일’은 상반기 스포츠 장르 최대 규모의 행사로 최대 12%의 추가 쿠폰과 카드 청구할인 혜택이 제공된다. 신세계백화점 패션담당 최문열 상무는 “여름에도 겨울 상품을 찾는 합리적인 고객들이 늘면서 예년보다 한달 빠른 대규모 역시즌 행사를 마련했다”며, “앞으로도 업계를 선도하는 차별화된 행사들을 이어갈 것”고 말했다.

"
<b>패션</b>·예술 한 곳에…롯데百의 &apos;이색 컬래버&apos;,"

국내 인기 디자이너 브랜드 '잉크''사진 조각 거장' 권오상과 첫 협업FW패션쇼서 신상·다양한作 선봬



잠실 롯데백화점 에비뉴엘 아트홀에서 오는 7월 16일까지 진행되는 권오상 작가의 ‘에어매스(AIR MASS) : 바람이 다니는 길’ 전시 전경/사진=롯데갤러리 인스타그램[서울경제] 롯데백화점이 한국을 대표하는 예술 작품과 패션 브랜드의 협업을 기획해 색다른 행사를 선보인다. 일명 ‘아트&패션 프로젝트’다.롯데백화점은 국내 인기 디자이너 브랜드 ‘잉크(EENK)’와 사진 조각의 거장 권오상 작가의 이색 협업을 통해 상품, 전시, 패션쇼가 어우러지는 다양한 행사를 진행한다고 24일 밝혔다.잉크는 메시지와 이미지를 출력할 때 매개체 역할을 한다는 의미를 담은 이혜미 디자이너의 패션 브랜드로 국내를 넘어 중국, 유럽에서도 큰 인기를 끌고 있다. 권오상 작가는 사진 조각의 거장으로 그동안 국내외 다양한 브랜드와의 공동 작업을 펼쳐 왔으며 현재 잠실 롯데백화점 에비뉴엘 아트홀에서 개인전 ‘에어매스(AIR MASS) : 바람이 다니는 길’을 선보이고 있다.



롯데백화점 편집숍 엘리든과 인기 패션 브랜드 잉크가 함께 제작해 권오상 작가의 전시회와 컬래버 패션쇼에서 선보일 FW 의상/사진 제공=롯데백화점먼저 25일 오후 7시 30분 잠실 롯데타워 야외 미디어 큐브 앞에서 두 장르가 어우러진 패션쇼가 열린다. 잉크의 2023년 가을·겨울(FW) 신상품을 선보이는 자리로 이번 시즌 패턴에서 영감을 받아 권 작가가 제작한 대형 에어매스(공기 주입 작품)도 등장한다. 6m 높이의 에어매스 사이로 잉크의 옷을 입을 모델들이 걷는 독특한 런웨이 풍경을 만나볼 수 있다.



패션쇼 외에도 권 작가의 개인전 전시장에서 ‘또 다른 작품’의 느낌으로 잉크의 상품을 접할 수 있다. 이번 기획을 위해 롯데백화점의 하이엔드 패션 편집숍 엘리든은 잉크와 총 11개 스타일의 단독 상품을 제작했는데, 25일 단 하루 이 단독 상품과 24종의 잉크 FW 컬렉션 상품을 롯데갤러리 전시장에 전시한다. 전시와 별개로 28일까지 온·오프라인을 통해 주문을 받아 할인된 가격에 사전 판매를 진행하며 9월 엘리든 매장에서 정식 공개한다.롯데백화점은 올 하반기에도 엘리든을 통해 또 다른 ‘아트&패션’ 프로젝트를 선보일 계획이다.

"
`경복궁`에 매료된 구찌...`임금의 길`에서 벌어진 런웨이 <b>패션</b>쇼,"

구찌, 근정전서 첫 패션쇼…좌우 둘러싼 행각을 '런웨이'로 활용'오겜' 음악감독 정재일도 참여…""'K-헤리티지' 알리는 첫 걸음""세계문화유산과 브랜드 연결시키는 일종의 '문화 마케팅' 전략



16일 오후 서울 종로구 경복궁 근정전 앞에서 이탈리아 명품 브랜드 구찌의 '2024 크루즈 패션쇼'가 열리고 있다. 경복궁의 중심 건물인 근정전은 조선시대 국가 의식을 거행하고 외국 사신을 맞이하던 곳이다. 현존하는 국내 최대 목조 건축물 가운데 하나로 국보 223호로 지정돼 있다. [사진공동취재단] 연합뉴스    세계적 명품 브랜드인 구찌가 16일 경복궁 근정전서 '2024 크루즈 패션쇼'를 가졌다. 평소라면 화요일을 맞아 문을 닫아야 할 경복궁은 화려한 패션 무대로 바뀌었다. 조선시대 관리들이 차례로 늘어서 있었을 정전 앞뜰이 반짝반짝 빛나자 저 멀리서 여성 모델이 걷기 시작했다. 근정전을 둘러싼 행각(行閣)을 따라 걷는 235ｍ가 바로 '런웨이'였다. 조선시대 국가 중요 행사를 열거나 외국 사신을 맞이하던 국보 근정전 주변은 세계 각지에서 온 모델, 디자이너 등 패션계 인사와 연예인, 유명인 등이 모인 장(場)이 됐다. 구찌가 이날 선보인 패션쇼는 아시아에서 여는 첫 크루즈 패션쇼다. 추운 겨울 날씨를 피해 따뜻한 곳으로 휴양을 떠나는 유럽 상류층을 겨냥해 시작했던 크루즈 컬렉션은 최근에는 이듬해 봄 패션 흐름을 엿볼 수 있는 쇼로 잘 알려져 있다. 예정 시간보다 약 30분 늦은 8시 30분께 시작한 쇼는 경복궁의 과거와 현재를 함께 담은 듯했다. 패션쇼가 진행되는 동안 근정전 안팎에는 영화 '기생충'과 넷플릭스 시리즈 '오징어게임'의 음악감독으로 잘 알려진 정재일의 음악이 흘렀다. 운동복을 연상케 하는 의상을 입거나 서핑용 보드를 든 모델이 궁궐 행각을 따라 걷는 모습은 눈길을 끌었다. 쇼를 보던 관객들은 '멋있다', '의외로 잘 어울리네' 등의 이야기를 주고받기도 했다. 이날 행사장에는 구찌의 앰버서더(홍보대사)로 활동 중인 가수 겸 배우 아이유, 배우 이정재, 김혜수, 김희애 등과 그룹 뉴진스 하니를 비롯해 연예·패션계 관계자 등 약 570명이 참석해 쇼를 지켜봤다. 배우 다코타 존슨, 시어셔 로넌 등도 방한해 경복궁의 밤을 함께 즐겼다. 구찌 측은 경복궁에서 이번 패션쇼를 열기 위해 상당한 공을 들인 것으로 전해졌다. 기존에 덕수궁, 창덕궁 등 다른 궁궐에서는 크고 작은 패션쇼 행사가 열린 적 있지만, 경복궁의 중심 건물이자 국보인 근정전 일대에서 열리는 건 이번이 처음이다.구찌는 앞서 영국 런던 웨스트민스터 사원, 이탈리아 피렌체 피티 궁전, 로마 카피톨리니 박물관 등 각국의 랜드마크 건축물에서 패션쇼를 한 바 있다.그러나 이번 쇼를 선보이기까지 과정은 쉽지 않았다. 당초 구찌는 지난해 11월 '구찌 코스모고니 패션쇼 인(in) 서울 경복궁'을 주제로 한 패션쇼를 선보일 계획이었으나, 이태원 참사가 발생하자 애도 차원에서 행사를 취소하기도 했다. 우여곡절 끝에 행사가 열리게 된 만큼 구찌 측은 단단히 준비한 듯했다. 국내 주요 인사에게 보낸 패션쇼 초대장과 선물은 포장에서 단청 무늬가 돋보이는 보자기와 전통 장신구인 노리개를 활용해 사회관계망서비스(SNS)에서 화제가 됐다. 패션쇼가 열리는 경복궁 내부에서는 약 일주일 전부터 무대 시설을 설치한 것으로 전해졌다. 실제로 전날 오후 찾은 근정전 일대에는 무대 시설을 설치하느라 분주한 모습이었다. 근정전에서 경회루로 이어지는 곳곳에는 '행사 준비 중'이라고 적힌 안내판이 놓여 있었다. 행각 기둥에는 혹시 부딪치거나 찍히는 것을 막기 위해 비슷한 색의 부직포를 감싸둔 상태였다.모델이 걷는 런웨이를 설치하려면 폭 1.5ｍ의 나무판을 깔아야 하는데, 4명이 각 면을 잡고 1명이 이를 지켜보면서 안전을 최우선으로 작업했다고 한 관계자는 귀띔했다. 최응천 문화재청장과 정성조 문화재청 궁능유적본부장은 이날 현장을 직접 돌아보며 상황을 살폈다. 마르코 비차리 구찌 글로벌 회장 겸 최고경영자(CEO)는 이날 최 청장을 만난 자리에서 패션쇼 진행에 대한 고마움을 표하며 ""감사하다""고 말했다. 이번 행사를 눈앞에서 본 관객들은 경복궁의 색다른 변신을 긍정적으로 평가했다. 패션 디자인을 공부하는 대학생 전희진 씨는 ""경복궁은 우리나라의 랜드마크이자 가장 한국적인 멋이 부각되는 장소""라며 ""세계적인 행사가 열리게 돼 자랑스럽다""고 말했다. 영국에서 온 한 참석자는 ""패션, 궁궐, 그리고 오늘 밤 모든 게 환상적""이라고 엄지를 치켜세웠다. 패션쇼는 약 20분 만에 끝났지만, 참석자들은 근정전을 배경으로 기념사진을 남기며 한동안 자리를 뜨지 못했다. 최응천 문화재청장은 ""조선시대의 상징인 경복궁에서 열리는 이번 행사가 전 세계에 'K-컬처'와 'K-헤리티지'를 알리는 첫걸음이 될 수 있을 것""이라고 밝혔다.구찌는 지금까지 역사적, 문화적으로 보존 가치가 높은 세계문화유산에서 쇼를 해왔다. 세계문화유산과 자신의 브랜드를 연결시키는 일종의 '문화 마케팅'이다. 지난 8년 동안 이탈리아 피렌체의 피티 궁전과 풀리아에 있는 까르텔 델 몬테, 프랑스 아를의 프롬나드 데 알리스캄프, 영국 런던의 웨스트민스터 사원,등 유네스코에 등재된 곳에서 자신의 컬렉션을 발표했다. 이런 구찌의 행보는 패션쇼를 단순히 새로운 의상을 선보이는 행사를 넘어 세계적인 명품 브랜드의 위상을 높이려는 마케팅 전략이다.  



16일 오후 서울 종로구 경복궁 근정전 앞에서 이탈리아 명품 브랜드 구찌의 '2024 크루즈 패션쇼'가 열리고 있다. 경복궁의 중심 건물인 근정전은 조선시대 국가 의식을 거행하고 외국 사신을 맞이하던 곳이다. 현존하는 국내 최대 목조 건축물 가운데 하나로 국보 223호로 지정돼 있다. [사진공동취재단] 연합뉴스    



 16일 오후 서울 종로구 경복궁 근정전 앞에서 이탈리아 명품 브랜드 구찌의 '2024 크루즈 패션쇼'가 열리고 있다. 경복궁의 중심 건물인 근정전은 조선시대 국가 의식을 거행하고 외국 사신을 맞이하던 곳이다. 현존하는 국내 최대 목조 건축물 가운데 하나로 국보 223호로 지정돼 있다. [사진공동취재단] 연합뉴스    



16일 오후 서울 종로구 경복궁 근정전 앞에서 이탈리아 명품 브랜드 구찌의 '2024 크루즈 패션쇼'가 열리고 있다. 경복궁의 중심 건물인 근정전은 조선시대 국가 의식을 거행하고 외국 사신을 맞이하던 곳이다. 현존하는 국내 최대 목조 건축물 가운데 하나로 국보 223호로 지정돼 있다. [사진공동취재단] 연합뉴스    

"
"신세계百, <b>겨울</b>패딩 역시즌마케팅 성공","





블랙야크 아우터 제품 홍보 이미지. 신세계백화점 제공    신세계백화점이 예년보다 한달 빨리 시작한 겨울 패딩 행사로 재미를 보고 있다.신세계백화점은 쓱닷컴에서 이달 1일부터 아웃도어 역시즌 행사를 진행한 결과, 21일까지 221.2%의 매출 신장률을 기록한 것으로 나타났다고 23일 밝혔다.추울 때 봐 뒀던 겨울 패딩을 따뜻한 봄과 여름에 높은 할인율로 사려는 역시즌 상품 수요가 해마다 늘고 있고, 이 영향으로 이번 행사 역시 큰 호응을 얻고 있는 것으로 회사는 보고 있다.이번 행사 기간에는 K2, 네파, 코오롱스포츠 등 인기 아웃도어 브랜드의 상품을 최초 가격대비 최대 70% 할인된 가격에 구매할 수 있다.대표 상품으로는 15만원대의 K2 '씬에어 구스다운', 5만원대의 네파 '숏 구스 다운', 40만원대의 코오롱스포츠 '안타티카 다운' 등이 있다.신세계백화점은 내달까지 쓱닷컴 겨울 패딩 역시즌 행사를 계속 이어갈 계획이다. 또 6월에는 '스포츠 쓱세일'을 열고 노스페이스, 디스커버리, 내셔널지오그래픽 등 MZ세대에게 인기을 얻고 있는 브랜드들을 판매할 예정이다.스포츠 쓱세일은 상반기 스포츠 장르 최대 규모의 행사로 최대 12%의 추가 쿠폰과 카드 청구할인이 적용된다.최문열 신세계백화점 패션담당 상무는 ""여름에도 겨울 상품을 찾는 합리적인 고객들이 늘면서 예년보다 한달 빠른 대규모 역시즌 행사를 마련했다""면서 ""앞으로도 업계를 선도하는 차별화된 행사들을 이어갈 것""이라고 말했다.  
		
"
"“K-<b>패션</b>·K-아트와 시너지”…롯데百 ‘엘리든’, 협업 프로젝트","





롯데백화점은 국내 인기 디자이너 브랜드 ‘잉크(EENK)’와 사진 조각의 거장 권오상 작가가 함께 작업한 상품·전시·패션쇼가 어우러지는 ‘버라이어티’ 행사를 기획했다. 관련 이미지. [롯데백화점 제공][헤럴드경제=신주희 기자] 롯데백화점이 K-패션·K-아트와 협업한 특별한 프로젝트를 선보인다.롯데백화점은 국내 인기 디자이너 브랜드 ‘잉크(EENK)’와 사진 조각의 거장 권오상 작가가 함께 작업한 상품·전시·패션쇼가 어우러지는 ‘버라이어티’ 행사를 기획했다고 24일 밝혔다. 이번 프로젝트는 롯데백화점의 패션 편집숍인 ‘엘리든(ELI’DEN)’과 ‘롯데갤러리’의 협업으로 이뤄졌다.특히 엘리든은 본점·잠실점·부산본점, 롯데백화점 대표 점포 3곳에 입점, 국내외에서 주목 받는 브랜드의 상품을 롯데백화점의 바이어가 직접 바잉해 선보이는 ‘K-패션 플랫폼’으로서 역할을 해 왔다.이에 롯데백화점은 한국의 패션과 예술의 영향력이 확대되는 것을 주목, 엘리든을 한국을 대표하는 디자이너 패션 브랜드·아티스트와 동시에 함께하는 이색 협업에 나섰다.먼저 K-디자이너 브랜드 잉크(EENK)와 다양한 컬래버 상품을 선보인다. 잉크는 메시지와 이미지를 출력할 때 매개체 역할을 한다는 의미를 담은, 이혜미 디자이너의 패션 브랜드다. 국내를 넘어 중국과 유럽에서도 큰 인기를 끌고 있다. 엘리든은 잉크와 협업을 통해 제작한 총 11개 스타일의 단독 상품과 잉크의 올해 F/W(가을·겨울) 컬렉션 상품 24종을 이번 행사에 최초 공개할 계획이다. 셔링 블라우스, 오버핏 싱글 코트 등 올해 가을과 겨울에 인기 아이템으로 예상되는 상품을 롯데백화점과 잉크가 공동으로 선별하고 기획해 제작했다.상품은 온·오프라인에서 사전 주문을 통해 판매한다. 먼저 에비뉴엘 잠실점 6층 롯데갤러리에서 진행중인 권오상 작가의 ‘에어매스(AIR MASS): 바람이 다니는 길’ 전시장에서 25일 하루 동안 컬래버 상품을 진열·전시하고 예약 판매한다.롯데백화점 온라인몰에서 28일까지 열리는 ‘엘리든x잉크x권오상 23F/W 기획전’을 통해서도 해당 상품에 대한 예약 구매가 가능하다. 이번 온·오프라인 ‘사전 예약 주문(프리오더)’ 기간에 구매하는 고객에게는 30% 할인혜택을 제공하며, 상품은 올해 가을께 고객에게 전달할 계획이다.K-아티스트인 권오상 작가의 작품이 어우러지는 ‘잉크’의 패션쇼도 선보인다. ‘사진 조각’의 거장으로 알려진 권오상 작가는 국내외 다양한 브랜드와 협업으로 대중들에게도 잘 알려진 스타 작가다. 이번 컬래버를 기념해 잉크의 F/W 시즌 패턴에서 영감을 받아 대형 ‘에어 매스(공기주입식 대형 작품)’ 조각을 제작했다.25일 오후 7시30분부터 서울 송파구 롯데월드타워 야외 미디어 큐브 앞에서 진행될 잉크의 패션쇼에서는 잉크의 23년 F/W 신상품이 선보이는 가운데, 6m에 달하는 권오상 작가의 대형 에어매스 사이로 모델들이 걷는 이색적인 런웨이의 풍경이 펼쳐질 예정이다. 권오상 작가의 개인전은 롯데백화점 잠실점 6층 롯데갤러리에서 7월 16일까지 진행된다.롯데백화점은 이번 권오상 작가와 협업을 시작으로, 아트와 패션이 어우러지는 다양한 프로젝트를 준비 중이다. 하반기에도 엘리든을 통해 또 다른 ‘아트&패션’ 프로젝트를 선보일 계획이다.우순형 롯데백화점 PB부문장은 “앞으로도 다양한 협업을 통해 엘리든을 롯데백화점을 넘어 국내를 대표하는 K-하이엔드 패션 플랫폼으로 키워나갈 것”이라고 밝혔다.

"
