제목,내용
"“해 쨍쨍할 때도 OK”…<b>남자</b>도 신는다, <b>패션</b>템 된 ‘이것’ [언박싱]","





패션 플랫폼 W컨셉에서 영국 레인부츠 브랜드 ‘헌터’의 상품을 판매하고 있다. [W컨셉 제공][헤럴드경제=신주희 기자] 장마 소식은 아직이지만 패션 플랫폼 검색어 상위권을 휩쓴 ‘장마템’이 있다. 바로 장화다. 비가 내릴 때 사려고 보면 이미 ‘품절’, 한발 늦을 수밖에 없다.레인부츠는 지난달 27~29일이었던 부처님오신날 연휴 비 소식에 판매량이 급증했으나, 비가 그친 뒤에도 판매량이 꾸준히 늘고 있다. 2030세대 사이에서 장화가 장마철이 아닌 평상시에도 신는 패션 아이템으로 등극하면서다.레인부츠, 비 내린 부처님오신날 연휴 이후에도 판매량 꾸준2일 주요 패션 플랫폼에서 ‘레인부츠’는 검색어 상위권을 차지했다. 신세계그룹의 W컨셉에서는 레인부츠가 검색어 1위에 올랐으며 무신사가 운영하는 29CM에서도 레인부츠가 실시간 검색어 3위를 기록했다.많이 찾는 브랜드 10위 안에는 영국 레인부츠 브랜드 ‘헌터’가 이름을 올렸다. 장마를 미리 대비하려는 소비자와 평상시 패션 아이템으로 장화를 신는 이가 늘면서 검색량이 급증했는 분석이다. 장화 코디는 지난해부터 2030세대 여성 사이에서는 롱부츠 스타일이 유행하면서 확산됐다. 배기 바지 또는 반바지에 무릎 아래까지 오는 장화를 매치하는 식이다.실제로 W컨셉이 5월 한 달간 판매 데이터를 분석한 결과, ‘레인부츠’의 판매량은 전년 동기 대비 매출이 20배 증가했다. LF몰에서도 지난달 ‘레인부츠’ 키워드 검색량은 전년 대비 26배, 전월 대비 6배 급증했다.레인부츠, 남성도 많이 찾아…“미들 기장은 워커와 비슷해 인기”



LF가 수입·판매하는 ‘핏플랍’의 레인부츠 ‘원더웰리’ [LF 제공]LF가 수입·판매하는 ‘핏플랍’의 레인부츠는 5월에만 예상치에 비해 350%나 넘게 팔렸다. LF는 시즌 종료 이전에 재고가 모두 소진될 것으로 보고 있다. 또 영국 브랜드 ‘바버’가 이번 시즌 국내 선보인 레인부츠 역시 4월 대비 5월 매출이 3배 이상 뛰었다.패션 아이템으로 각광받는 만큼 색깔도 한층 화려해졌다. 기존 네이비, 블랙 등 모노톤에서 옐로우, 그린, 핑크 등의 다양한 색으로 인기가 확산되고 있다. 발목을 덮는 길이부터 부츠 길이까지 기장과 디자인도 다양해진 결과 매출도 늘었다.남성 소비자의 레인부츠 구매가 두드러진 점도 주목할 만하다. W컨셉 관계자는 “지난해와 달리 올해에는 남성 레인부츠 판매 비중이 증가했다”라며 “미들 기장의 레인부츠 스타일이 워커와 비슷해 패션 아이템으로 구매하는 이들이 늘었다”고 분석했다.패션과 기능 모두 갖춰야 하는 만큼 장화 역시 프리미엄 브랜드가 인기다. 최근 품절 대란까지 빚은 헌터는 1856년 영국에서 시작된 장화 브랜드로 알려져 있다. 1977년에는 영국 황실로부터 로열 워런티를 부여 받아 영국 황실에 납품할 만큼 역사가 깊다. 가격은 10만~20만원 선으로 프리미엄 브랜드에 속한다.업계 관계자는 “비가 오던 부처님오신날 연휴에는 이미 (레인부츠 중) 인기 상품이 품절됐을 정도”라며 “비가 올 때 사면 늦는다는 인식에 더해 장화가 하나의 패션 아이템으로 자리잡으면서 수요가 급증하고 있다”고 설명했다.





"
&quot;비 온다는데…장화 신고 출근해도 되나요&quot; 레인부츠 준비하는 <b>남자</b>들,"

역대급 장마 소식에…남성용 레인부츠도 '활짝'G마켓·11번가 레인부츠 판매량 급증각종 장마용품 기획전도 활발올여름 강수량이 평년보다 많을 것으로 예측되면서 기능성 신발인 레인부츠를 찾는 발길이 늘고 있다. 특히 올해는 여성용뿐 아니라 실용성과 디자인을 모두 챙긴 남성용 제품들까지 인기를 얻고 있다.



31일 G마켓에 따르면 이달 1일부터 30일까지 기능성 신발인 레인부츠 판매량은 지난해 같은 기간 대비 383% 증가했다. 2021년과 비교하면 83% 증가한 수치다. 같은 기간 11번가의 레인부츠 거래액은 전년 대비 226%로 뛰었고, 패션 플랫폼 W컨셉의 레인부츠 매출은 전년 대비 20배 이상 급증한 것으로 나타났다.레인부츠 판매량이 급증한 배경으로는 평년보다 많을 것으로 관측되는 강수량이 꼽힌다. 예년보다 긴 장마가 예상되면서 본격적인 장마가 시작되는 6월 이전에 신발을 구매하는 이들이 는 것이다. 기상청에 따르면 올해 장마는 이르면 6월 중순부터 시작될 예정이며, 7월 강수량이 평년보다 많을 확률이 40%로 예측된다. 필리핀해의 높은 해수면 온도와 서아시아의 적은 눈 덮임 등이 영향을 미치며 강수일수도 평년보다 많을 것으로 관측됐다.



'헌터'의 대표 인기 레인부츠 [사진제공=W컨셉]이 같은 기후 소식에 여성용뿐 아니라 기능성과 디자인을 모두 살린 남성용 제품까지 인기를 얻고 있다. W컨셉이 5월 한 달간 자체 판매 데이터를 분석한 결과, 올해는 특히 남성용 레인부츠 판매량이 급증하며 레인부츠 카테고리 전체 판매량을 끌어올린 것으로 나타났다. 선호하는 모양과 색상도 이전보다 다양해졌다. 여성은 기존 네이비, 블랙 등의 모노톤의 롱 기장 부츠에서 옐로우, 그린, 핑크 등 보다 화려한 색상에 숏 기장의 가벼운 제품을 선호하는 경향이 짙어졌고, 남성은 블랙과 그레이 색상의 미들 기장 레인부츠를 선호하는 경향이 높은 것으로 조사됐다.소비자 발길을 붙잡기 위한 업계의 움직임도 분주하다. W컨셉은 6월 5일부터 18일까지 ‘롱 레이니 시즌’ 기획전을 열고 헌터, 벤시몽 등 대표 브랜드 상품을 특별한 혜택에 판매할 예정이다. G마켓 관계자는 ""올해는 예년보다 긴 장마가 예상되고, 많은 비가 내릴 수 있다는 전망에 레인부츠의 판매가 지난해보다 급증했다""며 ""첼시부츠, 미들부츠 등 다양한 형태와 브랜드의 제품이 고르게 인기""라고 전했다.

"
올해 비 많이 온다더니…<b>남자</b>도 많이 산 레인부츠,"

W컨셉 5월 장마용품 매출 15배 '쑥'남자 레인부츠 매출 20배 신장하며전체 레인부츠 매출도 20배 이상 ↑아쿠아슈즈·우산도 '미리구매' 불티6월 5~18일 장마 수요 기획전 열어



[서울경제] 올여름 슈퍼 엘니뇨의 영향으로 예년보다 많은 비가 내릴 것으로 예상되면서 레인부츠와 아쿠아 슈즈, 우산 등 장마 용품을 미리 구매한 고객이 많은 것으로 나타났다.패션 플랫폼 W컨셉은 이달 1~30일 판매된 장마 용품 매출이 전년 동기 대비 15배 이상 늘었다고 31일 밝혔다. 가장 판매량이 높은 상품은 레인부츠로 한 달간 매출이 20배 이상 뛰었다. W컨셉 관계자는 “올해는 여성뿐만 아니라 남성의 레인부츠 장만이 많았다”며 “남성 매출 자체가 20배 가까이 신장한 것으로 집계됐다”고 설명했다. 여기에 색감과 디자인이 다양해지면서 기존 소장품에 추가로 제품을 구매하는 고객도 많았다. 판매 데이터를 분석한 결과 여성은 파스텔 톤의 노란색 레인부츠와 발목을 덮는 숏·미들 기장의 레인부츠를, 남성은 검은색, 미들 기장의 레인부츠를 선호하는 것으로 나타났다. 아쿠아슈즈도 같은 기간 매출이 275% 뛰었다. 배수성이 좋고, 가볍게 착용할 수 있어 올해도 남녀노소 인기가 높았다. 우산 매출은 165% 급증했다. 물방울 무늬를 비롯해 풍성한 색감의 상품과 장마에 대비한 장우산을 찾는 고객이 많았다.이 같은 수요에 맞춰 W컨셉은 다음 달 5~18일 ‘롱 레이니 시즌(A LONG RAINY SEASON)’ 기획전을 진행한다. 헌터, 벤시몽 등 대표 브랜드 상품을 한자리에서 만나볼 수 있다.W컨셉 관계자는 “올해는 레인부츠 색상과 디자인이 다양해지면서 어릴 때 신던 노란 장화가 세련된 디자인으로 재탄생해 인기를 끌고 있다”며 “올해 많은 강수량이 예상되는 만큼 고객 수요에 맞춘 장마 기획전을 추가로 선보일 계획”이라고 밝혔다.

"
"소녀시대 출신 제시카 설립 <b>패션</b> 브랜드, 월세 못내 ‘강제집행’","





 제시카. 사진|스타투데이DB그룹 소녀시대 출신 제시카가 설립한 패션 브랜드 ‘블랑 앤 에클레어’ 본점이 입주해 있던 건물과의 소송 끝에 법원으로부터 강제집행 절차를 받았다.25일 법조계에 따르면 서울중앙지법 집행관들은 전날 블랑 앤 에클레어에 대한 인도집행을 실시했다. 강제집행으로도 알려진 이 절차는 사법상 의무를 이행하지 않는 자에 대해 국가가 강제권력으로 그 의무 이행을 실현하는 절차를 말한다.블랑 앤 에클레어 측은 지난 2021년 12월 입점해 있던 서울 강남구 한 건물주로부터 임대차 계약에 따른 월 차임 미납을 이유로 건물명도 청구 소송을 당했다. 소송은 지난해 6월 법원의 화해권고 결정으로 종결됐으나 블랑 앤 에클레어 측이 조건을 지키지 않아 법원의 인도 집행으로 이어진 것으로 전해졌다.이와 관련해 블랑 앤 에클레어 측은 이날 공식입장을 통해 “코로나로 한창 외식업이 힘들었을 때 건물주(이하 건물 측)에 사정을 밝히며 임대료를 일시 늦출 수 있는지 양해를 구했었으나 거절을 당하며 ‘3개월간 밀리면 나가라’는 내용증명을 받았다. 블랑은 내용에 합의하며 당시 10시 이후 영업이 가능하게 된 정부지침에 따라서 건물 측에 10시 이후 영업을 위한 엘리베이터를 다시 10시 이후로도 운행을 재개해줄 것을 요구했다”고 밝혔다.이어 “엘리베이터 문제만 해결해주길 바라며 원활한 운영을 준비하고 있었으나, 도리어 건물 측은 10시 이후 엘레베이터 운행 중지 및 메인 출입구조차 폐쇄시켜버렸다”며 “어쩔 수 없이 2층이었던 영업장을 출입하기위해 8시 이후에 문을 닫는 1층 의류매장을 통해 고객들을 안내해야 했으며, 이로 인해 6개월이 넘도록 고객들의 수많은 불편, 불만으로 인한 컴플레인으로 심각한 운영의 어려움을 겪었지만 참고 운영을 위해 최선을 다했다”고 설명했다.블랑 측은  “4월 초 영업을 더이상 이어갈 수 없을 것이라 판단 후 영업중지 및 임대계약해지를 결정내릴 수밖에 없었다”며 “건물 측은 3개월이 넘는 시간동안 이 부분을 검토하겠다는 이유로 계속 답변을 미뤄오며 무시를 해왔고, 그렇게 답변을 무시당하고 기다리고 있던 중 3개월이 지났다는 이유로 돌연 갑자기 강제집행을 예고하고 영업장을 기습방문하여 운영 중이던 영업을 방해하며 결국은 강제집행을 진행하고 매장을 철거시켜 버렸다”고 주장했다.그러면서 “강제로 영업을 방해받고 중지 할 수 밖에 없는 상황에 보증금반환조차 제대로 이루어지지않아 또 다시 기다리고 있는 상황”이라며 “블랑 역시 소송을 검토하며 준비중에 있다”고 덧붙였다.블랑 앤 에클레어는 제시카가 지난 2014년 소녀시대를 탈퇴한 뒤 설립한 회사다. 제시카의 남자친구이자 한국계 미국인 사업가 타일러 권이 대표를 맡아 운영하고 있다.제시카는 지난해 중국 예능 ‘승풍파랑적저저’에 출연, 최종 2위로 중국 걸그룹 재데뷔에 성공했다.

"
"제시카 <b>패션</b> 브랜드, 월세 못 내 강제집행…“임대계약해지 요구 무시했다” ...","
 
사진=IS포토그룹 소녀시대 출신 제시카가 설립한 패션 브랜드 블랑 앤 에클레어(이하 블랑)본점이 입주해 있던 건물의 임대료를 미납해 법원으로부터 강제집행 절차를 받은 것으로 전해졌다.25일 법조계에 따르면 서울중앙지법 집행관들은 지난 24일 서울시 강남구 청담동에 위치한 블랑에 대한 인도집행을 실시했다. 해당 집행은 ‘강제집행’으로도 알려져 있다. 사법상 의무를 이행하지 않는 자에 대해 국가가 강제권력으로 의무 이행을 실현하는 절차를 말한다.블랑은 앞서 지난 2021년 12월에도 입점해 있던 서울 강남구의 한 건물주로부터 건물명도 청구 소송을 당했다. 임대차 계약에 따른 월 차임 미납이 이유였다.다만 이 소송은 지난해 6월 법원의 화해권고 결정으로 종결됐다. 화해권고는 당사자 쌍방의 합의를 위해 법원이 직권으로 청구취지에 어긋나지 않는 범위 안에서 화해하도록 하는 절차다. 건물주 측은 블랑의 추가적인 차임 연체가 있으면 실제 집행을 하는 것을 조건으로 권고를 받아들였다.하지만 블랑 측이 최근 이 같은 조건을 지키지 않은 것으로 파악됐다. 결국 법원은 집행문을 송달한 뒤 인도집행에 나섰다.다만 이와 관련해 블랑 측은 “코로나19로 외식업이 힘들었을 당시 건물주 측에 임대료를 일시 늦출 수 있는지 양해를 구했지만, ‘3개월간 (임대료가) 밀리면 나가라’는 내용증명을 받았다“고 알렸다.이어 해당 내용에 합의했다고 밝힌 블랑은 당시 정부 지침이 바뀌어 오후 10시 이후 영업이 가능하게 되자 엘리베이터 운행을 재개해줄 것을 요구했다고 말했다. 하지만 건물주는 엘리베이터 운행을 중단시켰고, 출입구까지 폐쇄시켰다는 것이 블랑 측의 주장이다. 블랑 측은 “4월 초 영업을 더이상 이어갈 수 없을 것이라 판단 후 영업중지 및 임대계약해지를 결정내릴 수밖에 없었다”며 약속한 3개월이 지났다는 이유로 강제집행을 진행했다고 토로했다. 블랑 측은 “보증금반환조차 제대로 이루어지지 않아 또 다시 기다리고 있는 상황”이라며 “블랑 역시 소송을 검토하며 준비 중에 있다”고 덧붙였다.한편 블랑 앤 에클레어는 제시카가 지난 2014년 소녀시대를 탈퇴한 뒤 설립한 패션 브랜드 회사다. 남자친구이자 한국계 미국인 사업가 타일러 권이 대표를 맡고 있다.권혜미 기자 emily00a@edaily.co.kr
			"
"소녀시대 출신 제시카 <b>패션</b> 브랜드, 월세 못내 &apos;강제집행&apos;","
    
   그룹 소녀시대 출신 제시카가 만든 패션 브랜드 '블랑 앤 에클레어' 본점이 법원으로부터 강제집행 절차를 받았다.   25일 법조계에 따르면 서울중앙지법 집행관들은 지난 24일 블랑 앤 에클레어에 대한 인도집행을 실시했다.   강제집행으로 불리는 이 절차는 사법상 의무를 이행하지 않는 자에 대해 국가가 강제권력으로 그 의무 이행을 실현하는 절차를 뜻한다.   지난 2021년 12월 블랑 앤 에클레어 측은 본점이 입점해있던 서울 강남구 건물주로부터 임대차 계약에 따른 월차임 미납 이유로 건물명도 청구 소송을 당했다.   지난해 6월 법원의 화해 권고 결정으로 끝난 듯 싶었지만, 블랑 앤 에클레어 측이 조건을 충족하지 못하면서 법원의 강제집행까지 이어지게 됐다.   이에 대해 블랑 앤 에클레어 측은 억울하다는 입장이다. 브랜드 측은 ""코로나로 한창 외식업이 힘들었을 때 건물주(이하 건물 측)에 사정을 밝히며 임대료를 일시 늦출 수 있는지 양해를 구했었으나 거절을 당하며 '3개월간 밀리면 나가라'는 내용증명을 받았다. 블랑은 내용에 합의하며 당시 10시 이후 영업이 가능하게 된 정부지침에 따라서 건물 측에 10시 이후 영업을 위한 엘리베이터를 다시 10시 이후로도 운행을 재개해줄 것을 요구했다""고 설명했다.   이어서 ""엘리베이터 문제만 해결해주길 바라며 원활한 운영을 준비하고 있었으나, 도리어 건물 측은 10시 이후 엘레베이터 운행 중지 및 메인 출입구조차 폐쇄시켜버렸다. 어쩔 수 없이 2층이었던 영업장을 출입하기위해 8시 이후에 문을 닫는 1층 의류매장을 통해 고객들을 안내해야 했으며, 이로 인해 6개월이 넘도록 고객들의 수많은 불편, 불만으로 인한 컴플레인으로 심각한 운영의 어려움을 겪었지만 참고 운영을 위해 최선을 다했다""고 전했다.   또 ""4월 초 영업을 더이상 이어갈 수 없을 것이라 판단 후 영업중지 및 임대계약해지를 결정내릴 수밖에 없었다. 건물 측은 3개월이 넘는 시간동안 이 부분을 검토하겠다는 이유로 계속 답변을 미뤄오며 무시를 해왔고, 그렇게 답변을 무시당하고 기다리고 있던 중 3개월이 지났다는 이유로 돌연 갑자기 강제집행을 예고하고 영업장을 기습방문하여 운영 중이던 영업을 방해하며 결국은 강제집행을 진행하고 매장을 철거시켜 버렸다""며 ""강제로 영업을 방해받고 중지 할 수 밖에 없는 상황에 보증금반환조차 제대로 이루어지지않아 또 다시 기다리고 있는 상황이다. 블랑 역시 소송을 검토하며 준비중에 있다""고 밝혔다.   양측의 입장이 엇갈리면서 진실공방으로 이어질 전망이다. 해당 브랜드는 제시카가 지난 2014년 설립한 브랜드로, 제시카의 남자친구로 알려진 타일러 권이 대표를 맡고 있는 것으로 알려졌다.   김선우 엔터뉴스팀 기자 kim.sunwoo@jtbc.co.kr (콘텐트비즈니스본부) 
"
"“<b>남자</b>로 알고 그렸나?” 박세리, 로마서 초상화 그리고 당황 (뭉뜬)[어제TV]","
 
[뉴스엔 유경상 기자]뉴스엔 유경상 yooks@ 박세리, 김동현, 윤성빈, 김민경이 로마여행에서 가족사진을 남겼다.  5월 30일 방송된 JTBC ‘뭉뜬 리턴즈’에서는 국가대표 운동부 박세리, 김동현, 윤성빈, 김민경 로마 배낭여행 마지막 날이 그려졌다. 박세리, 김동현, 윤성빈, 김민경이 로마 최대 벼룩시장으로 향했다. 김동현은 “가방 관리 잘해라. 사람 많으니까. 가방 앞으로 해라”고 당부했고 전날 팔이 빠져 깁스한 박세리는 “나 양손 못 쓰니까 발로 차야겠다”고 농담했다. 김동현은 “한 명만 잡혔으면 좋겠다”며 윤성빈과 도둑을 잡겠다고 했다. 전날 박세리의 짐꾼 노릇을 했던 김동현은 “오늘 많이 살 거잖아. 백팩 없나?”라며 큰 가방부터 찾았고 35유로 배낭, 10유로 명품가방부터 구입했다. 박세리는 에스프레소 잔을 찾다가 골동품 턴테이블에 마음을 뺏겼지만 곧 자리를 떴다. 한 관광객이 윤성빈에게 사진촬영 요청하며 불가리아 배우라 밝혔다. 여자친구는 유명 패션잡지에 나온 모델. 윤성빈은 한국판 잡지에 실린 자신의 사진을 자랑했고 김민경은 “이렇게 적극적인 모습 처음 봤다”며 웃었다. 박세리도 “성빈이가 자랑하는 것 좋아했었네. 숨기고 있었네. 너 원래 이렇게 자랑하는 것 좋아했었던 거야?”라고 몰았다.   
다음 여행지는 산 조반니 인 라테라노 대성당. 네 사람은 대성당의 웅장한 모습에 감탄했고 김동현은 소원을 이뤄준다는 아기 예수의 발을 잡고 “우리 가족 건강하고 돈 많이 벌게 해주세요. 돈 많이 벌어 바쁘지 않은 아빠가 되게 해주세요”라고 소원을 빌었다. 김동현은 박세리에게도 소원을 빌라며 “사실 뭐 웬만한 거 다 이루셔서 없겠지만”이라고 말해 웃음을 자아냈다.   로마 최고 화덕 피자에서는 기본 1시간 가까이 줄을 서야 했고 긴 기다림 끝에 식당으로 들어간 박세리는 피자를 5판 주문해 큰손 인증했다. 직전까지 이들은 로마 디저트 미식회를 열며 끊임없이 먹었던 상황. 하지만 피자 5판 역시 순식간에 클리어 했고 “배가 하나도 안 고팠는데 먹어본 피자 중에 제일 맛있다”고 입을 모아 감탄했다. 여행 마지막날 박세리와 김민경은 라면 4개로 조식을 먹었고 나보나 광장으로 향했다. 드디어 노천카페에서 커피를 마시게 된 김동현은 “하루에 두 번씩 하고 싶었다. 이걸 제일 하고 싶었다. 너무 좋다”며 감탄했다. 김민경도 “행복하다. 안 가고 싶다”고 말했다. 광장에 초상화를 그려주는 사람들이 있었고, 박세리는 기념으로 네 사람이 함께 초상화를 남기길 바랐다. 박세리가 먼저 모델이 됐고 “난데 나 아닌 듯. 이게 네 모습인데? 나 여자인데 설마 남자로 아는 건 아니겠지? 머리를 좀 더 길게 해줘야 하는 것 아닌가?”라며 당황했다. 김민경은 브이라인 성형수술을 요청했고, 김동현은 “내 눈이 너무 작다”며 불만을 드러냈다. 하지만 그림 속 네 사람은 흡사 가족사진처럼 닮은 모습으로 여행 추억을 제대로 기록했다. 마지막 여행지는 조국의 제단. 조국의 제단에서는 360도로 로마 뷰를 즐길 수 있었다. 김민경이 “다음 여행지는 어디냐”며 아쉬워하자 박세리는 “여행이 충분했다. 한국 가서 돼지갈비 먹을 거다”며 쿨한 반응으로 여행을 마무리했다. (사진=JTBC ‘뭉뜬 리턴즈’ 캡처)
"
"제시카 설립 <b>패션</b> 브랜드 본점, 월세 미납으로 강제집행","
기사내용 요약블랑 앤 에클레어, 소송 끝에 강제집행월세 미납에 따른 사법 절차로 알려져 
[서울=뉴시스] 사진=블랑 앤 에클레어 공식 SNS. 2021.09.28 photo@newsis.com[서울=뉴시스]박현준 기자 = 그룹 소녀시대 출신 제시카가 설립한 패션 브랜드 '블랑 앤 에클레어' 본점이 입주해 있던 건물과의 소송 끝에 법원으로부터 강제집행 절차를 받은 것으로 파악됐다.25일 법조계에 따르면 서울중앙지법 집행관들은 전날 블랑 앤 에클레어에 대한 인도집행을 실시했다. 강제집행으로도 알려진 이 절차는 사법상 의무를 이행하지 않는 자에 대해 국가가 강제권력으로 그 의무 이행을 실현하는 절차를 말한다.블랑 앤 에클레어 측은 지난 2021년 12월 입점해 있던 서울 강남구의 한 건물주로부터 건물명도 청구 소송을 당했다. 이유는 임대차 계약에 따른 월 차임 미납으로 알려졌다.이 소송은 지난해 6월 법원의 화해권고 결정으로 종결됐다. 화해권고 결정이란 당사자 쌍방의 합의를 위해 법원이 직권으로 청구취지에 어긋나지 않는 범위 안에서 화해하도록 하는 절차다.하지만 블랑 앤 에클레어 측이 최근 이 같은 조건을 지키지 않은 것으로 전해졌고, 법원은 집행문을 송달한 뒤 전날 인도집행에 나선 것으로 파악됐다.블랑 앤 에클레어는 제시카가 지난 2014년 소녀시대를 탈퇴한 뒤 설립한 회사다. 제시카의 남자친구인 한국계 미국인 사업가 타일러 권이 대표를 맡아 운영하고 있다. 제시카는 블랑 앤 에클레어 설립 단계부터 선글라스 디자인 등 각종 부문에 수석 디자이너로서 적극 참여해 왔다. 해당 브랜드는 중화권에 다수의 지점을 보유하고 있는 것으로 알려졌다.
"
"제시카 설립 <b>패션</b> 브랜드 본점, 월세 밀려 &apos;강제집행&apos;","
  
   제시카. 블랑 앤 에클레어 공식 SNS 갈무리       그룹 소녀시대 출신 가수 제시카가 설립한 패션 브랜드 '블랑앤에클레어(Blanc&Eclare)'가 입주해 있던 건물의 월 차임을 내지 못해 강제집행 절차에 들어간 것으로 파악됐다.     25일 법조계에 따르면 서울중앙지법 집행관들은 전날 블랑 앤 에클레어에 대한 인도집행을 실시했다. 강제집행으로도 알려진 이 절차는 사법상 의무를 이행하지 않는 자에 대해 국가가 강제권력으로 그 의무 이행을 실현하는 절차를 말한다.     블랑 앤 에클레어 측은 지난 2021년 12월 입점해 있던 서울 강남구의 한 건물주로부터 건물명도 청구 소송을 당했다. 이유는 임대차 계약에 따른 월 차임 미납으로 알려졌다.     이 소송은 지난해 6월 법원의 화해권고 결정으로 종결됐다. 화해권고 결정이란 당사자 쌍방의 합의를 위해 법원이 직권으로 청구취지에 어긋나지 않는 범위 안에서 화해하도록 하는 절차다.     하지만 블랑 앤 에클레어 측이 최근 이 같은 조건을 지키지 않은 것으로 전해졌고, 법원은 집행문을 송달한 뒤 전날 인도집행에 나선 것으로 파악됐다.     블랑 앤 에클레어는 제시카가 지난 2014년 소녀시대를 탈퇴한 뒤 설립한 회사다. 제시카의 남자친구인 한국계 미국인 사업가 타일러 권이 대표를 맡아 운영하고 있다.     제시카는 블랑 앤 에클레어 설립 단계부터 선글라스 디자인 등 각종 부문에 수석 디자이너로서 적극 참여해 왔다. 해당 브랜드는 중화권에 다수의 지점을 보유하고 있는 것으로 알려졌다.   
"
"소녀시대 제시카 <b>패션</b> 브랜드, 월세 못내 &apos;강제집행&apos;","

법원, '블랑 앤 에클레어' 인도집행 실시임대차계약 월세 미납 관련 분쟁 벌여와블랑 측 ""건물주가 영업 방해했다"" 주장그룹 소녀시대 출신 제시카가 설립한 패션 브랜드 '블랑 앤 에클레어(이하 블랑)' 본점이 입주해 있던 건물과의 소송 끝에 법원으로부터 강제집행 절차를 받았다.25일 법조계에 따르면 서울중앙지법 집행관들은 전날 블랑 앤 에클레어에 대한 인도집행을 실시했다. 강제집행으로도 알려진 이 절차는 사법상 의무를 이행하지 않는 자에 대해 국가가 강제권력으로 그 의무 이행을 실현하는 절차를 말한다.블랑은 지난 2021년 8월부터 건물의 월세를 여러 차례 연체해 건물주와 분쟁을 벌여왔다.이후 법원은 화해 권고를 내리며 결정을 종결했으나 블랑이 다시 월세를 연체하자 법원은 블랑에 대해 강제 집행을 나선 것이다.



패션 브랜드 '블랑 앤 에클레어' 설립자 제시카 [사진출처=제시카SNS캡처]관련한 논란이 확산하자 25일 블랑 측은 영업장 인도 집행에 대한 공식 입장을 밝혔다.블랑은 ""코로나로 한창 외식업이 힘들었을 때 건물주 측에 임대료 납부 일시를 늦출 수 있을지 양해를 구했으나 '3개월간 (임대료가) 밀리면 나가라'는 내용 증명을 받았다""라고 밝혔다.이어 블랑은 ""내용에 합의하며 당시 10시 이후 영업이 가능하게 된 정부 지침에 따라 10시 이후 엘리베이터 운행을 재개해 달라고 요구했다"", ""그러나 건물주 측은 10시 이후 엘리베이터 운행을 중지하고 메인 출입구조차 폐쇄했다""라고 주장했다.블랑은 ""이로 인해 6개월이 넘도록 고객들의 불편과 불만으로 운영의 어려움을 겪었지만 참고 운영을 위해 최선을 다했다""라며 ""결국 4월 초 영업을 더 이어갈 수 없을 것이라 판단해 영업 중지 및 임대계약해지를 결정할 수밖에 없었다""라고 설명했다.또 ""건물 측은 3개월이 넘는 시간 동안 이 부분을 검토하겠다는 이유로 답변을 미뤄오며 무시를 해왔고 3개월이 지나자 영업장을 기습방문해 운영 중이던 영업을 방해하며 강제집행을 진행하고 매장을 철거했다""라고 밝혔다.블랑은 ""이 상황에 보증금 반환조차 제대로 이뤄지지 않아 또다시 기다리고 있는 상황""이라며 ""소송을 검토하며 준비 중이다""라고 덧붙였다.블랑 앤 에클레어는 제시카가 지난 2014년 소녀시대를 탈퇴한 뒤 설립한 회사다. 제시카의 남자친구이자 한국계 미국인 사업가 타일러 권이 대표를 맡아 운영하고 있다.제시카는 지난해 중국 오디션 프로그램  '승풍파랑적저저'에 출연해 최종 2위로 중국 걸그룹 재데뷔에 성공했다.한편 정부는 코로나19로 영업 손실을 본 상가임차인들을 위해 2020년 9월 29일부터 6개월까지의 기간 동안 연체한 차임액은 계약 해지의 적용에 있어 차임연체액으로 보지 않도록 하는 임시 특례 조항을 마련했다.그러나 제시카의 경우는 이 조항에도 해당되지 않는다. 블랑이 지속적으로 월세를 연체한 것은 2021년 8월 이후의 일으로 특례 적용 기간에 포함되지 않기 때문이다.

"
