제목,내용
올해는 ‘비키니’ 말고 ‘이것’ 유행…<b>여름</b> 휴가 갈 준비됐나요?,"

무신사, 수영복 매출 2배 ‘쑥’화려한 패턴 모노키니 유행유명작가 예술 작품 담기도래시가드는 전연령대 선호



 노스페이스 래시가드 제품무더위가 예년보다 일찍 찾아오면서 여름철 바캉스 용품 수요가 늘고 있다. 특히 물놀이를 위한 수영복 매출 역시 전년 대비 증가세를 보이고 있다.2일 유통업계에 따르면 무신사가 지난 2주간(5월8일~5월21일) 무신사 스토어 상품 거래액을 분석한 결과 여성 패션 수영복 카테고리 거래액이 직전 동기간(4월24일~5월7일) 대비 2배 가량 늘었다.패션 수영복은 해변, 워터파크, 야외 수영장 등 실외에서 주로 착용하는 여성 수영복을 포함한다.전체 수영복 카테고리 가운데에서도 특히 여성 수영복의 판매가 두드러졌다. 같은 기간 남성 상하의, 래시가드, 스포츠용 등을 포함한 전체 수영복은 약 47% 증가했다.신세계 자회사 신세계인터내셔날의 자사 온라인몰 에스아이빌리지(S.I.VILLAGE)도 수영복 매출이 크게 뛰었다. 4월부터 5월24일까지 약 두 달간 에스아이빌리지의 수영복 매출은 전년 동기 대비 5배(463.4%) 이상 신장했다.백화점에서도 수영복 매출이 뚜렷한 신장세다. 신세계백화점에서는 지난달 1일부터 22일까지 수영복 매출이 전년 동기 대비 27.9% 증가했다.올 여름 여성 패션 수영복 트렌드는 과감한 프린팅이나 화려한 패턴을 더한 모노키니가 이끌고 있다. 모노키니는 상하의가 하나로 이어져 배를 가리는 형태의 수영복 디자인이다. 그 중에서도 커다란 그림이나 실사 사진으로 포인트를 더한 모노키니가 인기를 얻으며 패션 수영복 거래액 상승을 견인했다.



 무신사에서 판매하는 수영복 제품들로 올 여름에는 과감한 프린팅과 모노키니 제품 등이 인기를 끌고 있다. [사진출처=무신사]유명 작가의 작품을 그대로 담은 수영복도 인기다. 스트리트 무드를 지향하는 브랜드 ‘타입서비스’는 스페인 출신 인기 사진작가 ‘요시고(Yosigo)’와 협업한 휴양지 아이템을 한정 발매했다. 수영복, 수영모, 비치타월 등으로 구성된 협업 컬렉션은 여름 풍경을 담은 요시고 작가의 작품을 전면 프린팅한 것이 특징이다.‘마르디메크르디’는 워터스포츠 브랜드 ‘아레나’와 손잡고 꽃 그래픽이 돋보이는 수영복, 스위밍백 등을 출시했다.무신사 관계자는 “모노키니는 단순한 실루엣 덕에 패턴이나 그래픽이 더욱 돋보이는 매력이 있고, 브랜드의 정체성이나 개성에 따라 다양한 무드를 연출할 수 있어 1020여성 고객 사이에서 인기가 급증하는 추세”라고 설명했다.여름철 물놀이 패션으로 래시가드는 꾸준히 인기몰이를 하고 있다. F&F의 아웃도어 브랜드 ‘디스커버리 익스페디션’는 99% 이상 자외선 차단이 가능한 프리미엄 래시가드를 비롯해 루즈핏의 후디드 가오리핏 래시가드와 후디드 롱 커버업 래시가드, 크롭 래시가드 등 개개인의 체형과 취향에 맞는 다양한 스타일의 래가드를 출시했다.효성티앤씨는 노스페이스, K2 등 아웃도어 브랜드와 손잡고 폐어망 재활용 섬유를 의류와 가방 등에 적용했다. ‘리젠 오션 나일론’으로 불리는 이 섬유는 국내외에서 수거한 폐어망을 재활용해 만든 것으로, 효성티앤씨가 2007년 세계 최초로 개발하고 상업화 했다. 노스페이스의 래시가드에 이 섬유가 쓰인다.키즈패션 업계에서도 래시가드 제품군의 판매량이 급증하고 있다. 한세엠케이에 따르면 기존에는 관련 제품이 바캉스 시즌인 7~8월을 중심으로 판매 호조를 이뤘다면, 올해는 4월부터 매출이 증가하는 추이를 보였다.NBA키즈의 래시가드 제품군은 지난 4~5월 판매량이 전년 동기 대비 136% 이상 늘었다. 자사 브랜드인 컬리수와 모이몰른스윔 아이템 역시 5월 기준으로 전년 대비 판매량이 각각 50%, 35% 이상 신장했다. 헐리키즈의 경우 동기 기준 래쉬가드 매출이 300% 이상 증가했다.

"
명품도 아닌데 밤샘 오픈런...K<b>패션</b>이 2030 모았다[HOT 오픈런],"

잠실 롯데월드몰 지하1층에 '아더에러' 플러그샵 오픈...K패션 열풍



[서울=뉴시스] 박미선 기자=2일 서울 송파구 잠실 롯데월드몰 지하 1층 아더에러 플러그샵 오픈을 앞두고 사람들이 줄을 서있다.  *재판매 및 DB 금지[서울=뉴시스]박미선 기자 = ""시그니처 컬러 '블루'를 이렇게 뽑아내는 브랜드는 없을 거예요.""""해외가 주목하는 브랜드인데 엄청난 인지도 생각하면 가격대도 괜찮은 편이죠.""2일 잠실 롯데월드몰에 패션에 관심 좀 있다는 사람들이 모였다. 쇼핑몰 오픈 시간은 오전 10시 30분이지만, 전날 오후 3시부터 모이기 시작한 사람들은 다음 날인 이날 오전 10시께 100여 명으로 불었다. 이들이 쇼핑몰 앞에서 하룻밤을 꼬박 새운 이유는 다름 아닌 토종 패션 브랜드 '아더에러(ADER ERROR)'의 신규 매장 오픈 소식 때문이다. 아더에러는 이날 잠실 롯데월드몰 지하 1층에 국내 8번째 매장이자 수도권 백화점 최초로 '아더 잠실월드몰 플러그샵'을 오픈했다. 아더에러는 흔히 말하는 '명품'은 아니지만, 패션 피플들 사이에선 톡톡 튀고 트렌디한 디자인 덕에 명품만큼 인기 많고 관심 높은 브랜드로 꼽힌다.



[서울=뉴시스] 박미선 기자=2일 서울 송파구 잠실 롯데월드몰에 문을 연 '아더 잠실월드몰 플러그샵' 앞에 사람들이 대기 등록을 위해 줄을 서 있다. *재판매 및 DB 금지전날 오후 8시 롯데월드몰을 찾았다는 노지혜(35·) 씨는 아더에러 오픈런(매장 문이 열리기 전부터 기다렸다가 구매하는 행위)만 벌써 세 번째라고 했다. 그는 ""모든 브랜드마다 시그니처 컬러가 있지만, 우리나라에서 '블루' 컬러를 이렇게 잘 뽑아내는 곳은 아더에러뿐이고, 플러그샵 인테리어와 조명도 독보적""이라며 ""홍대, 성수 매장 오픈런도 갔었는데 오늘은 신발, 가방, 티셔츠를 구매할 생각""이라고 말했다. 패션 커뮤니티를 통해 아더에러를 알게 됐다는 한모(23) 씨는 지난해 11월 부산 서면에 오픈한 '아더 서면 스페이스'에 이어 이날 두 번째 오픈런에 참여했다. 한 씨는 ""아더에러는 요즘 제일 유행하는 브랜드고, 해외에서도 인지도 높은 브랜드인 것에 비해선 가격이 비싸지 않은 편이라 관심 갖고 있다""며 ""오늘 시그니피컨트 라인 반팔 티셔츠를 구매하고 싶다""고 했다.2014년 출시해 탄생한 지 이제 10년된 토종 패션 브랜드 아더에러는 푸마, 메종키츠네, 자라 등 내로라하는 글로벌 패션 브랜드와 손잡고 컬렉션을 출시할 만큼 국내 패션업계의 위상을 드높인 브랜드로 꼽힌다. 새로운 컬렉션이나 브랜드 협업 한정판 출시 때마다 수많은 팬들을 몰고 다니며 명품 못지않은 인기를 누리고 있다.



[서울=뉴시스] 박미선 기자=2일 서울 송파구 잠실 롯데월드몰에 문을 연 '아더 잠실월드몰 플러그샵'에서 구매한 상품이 담긴 쇼핑백 모습.  *재판매 및 DB 금지이날 아더에러는 오픈런 줄을 선 100명에게 오전 10시 번호표를 배부했고, 오픈 후에는 10명씩 들어가 쇼핑하도록 했다. 번호표를 받지 못한 사람들은 매장 문이 열리는 오전 10시30분 매장 앞에서 대기 등록을 했는데 아더에러 측 관계자는 ""번호표가 없으면 지금 등록해서 쇼핑하기까지 4시간 이상 기다려야 한다""고 안내했다. 아더에러 플러그샵에는 상품을 소유하기 위해 구매하는 실소비자도 있었지만, 상품을 되팔기 위해 구매하는 리셀러들도 적지 않았다. 실제 리셀 시장에 나오는 아더에러 상품에는 최소 5만원부터 50만원까지 웃돈이 붙고 있다. 그런 탓에 이번 오픈런 맨 앞에서 번호표를 받은 사람들 중 다수는 리셀러였는데, 이들은 중고거래 플랫폼 등에서 웃돈이 가장 많이 붙는 상품을 골라내며 쇼핑하느라 한 번 매장에 들어가면 수십 분씩을 썼다. 매장 문이 열리자마자 들어갔던 첫 손님은 무려 40분간 쇼핑했고, 가장 큰 쇼핑백 5개를 들고 나왔다. 소유할 것과 되팔 것을 합해 아더에러 상품 300만원어치를 구매할 계획이라는 최용석(20) 씨는 ""아더에러는 프리미엄이 잘 붙는 브랜드""라며 ""데님은 직접 입으려고 사지만, 가방류는 프리미엄을 붙여 되팔 생각""이라고 했다. 이날 문을 연 '아더 잠실월드몰 플러그샵'은 바닥의 높이를 50㎝ 높여 공중에 떠 있는 듯한 인테리어를 연출했고, 매장 전경에는 기존 매장에서 볼 수 없었던 독특한 마네킹을 전시했다. 생소한 디자인에 지나가는 사람들은 연신 휴대폰 카메라를 들어 매장 사진을 찍곤 했다. 아더 잠실월드몰 플러그샵은 오픈을 기념해 봄·여름 최신 컬렉션은 물론, 아더에러의 시그니처 로고와 그래픽 디자인이 담긴 '익스클루시브 티셔츠'를 단독 판매한다. 또 컨템포러리 라인인 '시그니피컨트'와 스니커즈 라인인 '로그'도 특별히 선보인다. 



[서울=뉴시스] 박미선 기자=2일 서울 송파구 잠실 롯데월드몰에 문을 연 '아더 잠실월드몰 플러그샵' 앞에서 사람들이 사진을 찍고 있다. *재판매 및 DB 금지

"
"태광, 홈쇼핑서 스판덱스 &apos;엘라핏&apos; <b>여름</b>용 <b>패션</b>상품 선봬","

국내 최초 스판덱스 상업생산 성공태광그룹 섬유·석유화학 계열사 태광산업이 스판덱스 브랜드 ‘엘라핏(ELAFIT)’을 소재로 한 여름용 패션상품 3종을 선보인다고 1일 밝혔다. 이날부터 홈쇼핑 채널 '쇼핑엔티' 방송에서 최초로 판매를 시작할 예정이다. 엘라핏은 신축성과 탄력성이 뛰어나 다양한 용도의 원단에 적용할 수 있다. 태광산업은 국내 최초로 스판덱스 상업생산에 성공, 엘라핏에 40년 스판덱스 제조 기술을 담았다. 편안한 착용감과 우수한 회복력을 요하는 속옷, 수영복, 스키복, 등산복, 요가복 등에 주로 사용된다.



태광산업이 대표 합성섬유 스판덱스 브랜드 '엘라핏(ELAFIT)'을 소재로 한 여름용 패션상품 3종을 최초 론칭한다. [사진제공=태광산업]엘라핏은 총 세 차례 홈쇼핑 방송을 통해 소개된다. 먼저 여성 속옷 콜라보 상품인 ‘인견 에어홀 브라팬티 패키지’를 통해 우수한 냉감 기능성 원단에 신축성과 탄성까지 갖춘 차별화 상품을 선보인다. 2일엔 여름철 야외 활동을 위한 신축성과 링클프리 기능성을 갖춘 여성 팬츠 콜라보 상품인 ‘엘라핏 썸머 팬츠 3종 세트’를, 6월 중순에는 더운 여름철에 보정, 팬츠, 속바지까지 한번에 해결할 수 있는 콜라보 여성 속옷 상품인 ‘메쉬 팬티속바지 6종 세트’를 공개할 예정이다.태광산업은 이번 홈쇼핑 방송을 시작으로 추후 타 홈쇼핑 방송을 기획해 본격적인 홈쇼핑 마케팅을 펼친다는 계획이다.태광산업 관계자는 “우수한 패션브랜드와의 협업과 홈쇼핑 마케팅을 위해 오랜 기간 기획하고 준비해왔다”며 “엘라핏의 뛰어난 상품성을 고객들에게 적극적으로 선보여 한국 최초 상용화에 성공한 태광산업 스판덱스의 위상을 회복해 나아가겠다고 말했다.

"
명품관 줄이 아니네…&quot;밤새웠다&quot; K<b>패션</b>에 2030 오픈런,"

'아더에러' 잠실점 오픈날 100여명 대기…""전날 오후 4시부터 줄 섰다""



2일 오전 9시쯤 서울 송파구 롯데월드몰 입구에 '아더에러'에 입장하기 위해 줄을 서는 고객들의 모습/사진= 임찬영 기자""오후 4시부터 줄 서 있더라고요. 안 되겠다 싶어 따라 섰죠""2일 오전 8시50분쯤 찾은 서울 송파구 롯데월드몰 입구에는 이른 아침부터 100여명에 달하는 사람들이 줄을 서고 있었다. 이날 처음 오픈하는 패션브랜드 '아더에러 잠실점'에 입장하기 위해서였다.아더에러는 'K-패션'의 끝판왕이라 불릴 정도로 2030세대를 비롯한 전 세대에 인기를 끌고 있는 토종 패션 브랜드다. 메종키츠네를 비롯해 자라, 컨버스, 캠퍼 등 글로벌 브랜드와 콜라보레이션 작품을 연이어 쏟아낸 바 있다.이날 오픈하는 아더에러 잠실점은 아더에러의 '플러그샵(Plug Shop)'으로 패션, 문화 등 콘텐츠를 집약해 선보이는 대형 리테일형 매장이다. 수도권 백화점으로는 처음으로 롯데백화점이 운영하는 롯데월드몰에 입점했다.글로벌 K패션 브랜드인 만큼 플러그샵 오픈 전날 오후 4시부터 오픈런 행렬이 시작됐다. 신사동에서 왔다는 30대 A씨는 ""아더에러는 매장별 한정판 상품이 있는데 한정판 상품은 다 수집하고 있다""며 ""이번에 잠실점이 오픈한다고 해서 한정판 상품을 사러 왔다""고 말했다.



아더에러 잠실점 오픈 전날인 지난 1일 오후 4시부터 입장을 위한 줄이 시작됐다/사진= 임찬영 기자오픈런 행렬은 다음날 아더에러가 대기 번호를 받기 시작한 오전 9시까지 이어졌다. 이날 오픈런에 합류한 박주원씨(26)는 ""아더에러 인스타그램을 팔로워하고 있는데 오늘 오픈한다고 해서 와봤다""며 ""특별히 뭘 사려는 건 아닌데 괜찮은 게 있으면 사려고 한다""고 말했다.여자친구와 함께 방문한 차진환씨(26)도 ""평소에도 아더에러를 좋아하는데 아더에러가 오픈한다고 해서 왔다""며 ""대기 줄이 길어서 출근 전까지 오픈을 못 하면 집으로 가야 할 것 같다""고 했다.다만 일반 고객들 외에도 '리셀러(한정판 상품을 사서 되파는 이들)'들의 모습도 보였다. 이들은 개인이 아니라 무리를 지어 활동하며 서로 정보를 공유하는 모습이었다. 실제 이들 무리 중 한 명은 ""오전 8시쯤 왔는데 조금이라도 일찍 와야 사이즈가 남아있지. 몇 푼이라도 더 벌어야 할 것 아냐""라고 말하기도 했다.



2일 오전 10시30분쯤 오픈한 아더에러 잠실점의 모습/사진= 임찬영 기자플러그샵 입장은 오전 9시쯤 받은 대기 번호를 통해 이뤄졌다. 오전 10시30분 매장이 오픈되자 번호에 따라 순차적으로 입장을 시작했다. 이날 아더에러가 매장 혼잡을 줄이기 위해 입장 인원을 15명 안팎으로 제한했기 때문에 매장 내부는 생각보다 조용했다.특히 이날 매장에서는 2023년 봄·여름 컬렉션을 비롯해 '익스클루시브 티셔츠', '시그니피컨트', '로그' 등 인기 상품들이 판매됐다. 이날 인기 상품들은 1인당 구매 가능 수량이 정해져 있었기 때문에 매장 안에 들어선 손님들도 신중하게 상품을 선택하는 모습이었다.아더에러 입점을 준비한 롯데백화점 관계자는 ""해외에서도 유명한 K패션 브랜드인 아더에러부터 마르디, 디스이즈네버뎃 등을 연이어 입점시키고 있다""며 ""롯데월드몰을 MZ세대에게 가장 힙한 성지로 만들고자 한다""고 말했다.

"
"유니클로, ‘유니클로 <b>여름</b> 감사제’ 실시","





글로벌 패션 브랜드 유니클로가 8일까지 1주일간 ‘유니클로 여름 감사제’를 실시한다.전국 유니클로 매장과 온라인 스토어에서 여름철 대표 아이템인 에어리즘 제품을 할인된 가격에 만나볼 수 있다. 남성용, 여성용, 키즈 에어리즘 이너웨어를 비롯해 다양한 에어리즘 라인업을 감사제 기간동안 합리적인 가격으로 구매할 수 있다.  유니클로는 국내 고객들의 성원에 대한 감사의 마음을 전하기 위해 국내 유명 브랜드와 협업한 특별 사은품을 여름 감사제 기간 구매 고객에게 선착순으로 증정한다. 감사제 기간 동안 모든 구매 고객에게 국내 1세대 스페셜티 로스터리 카페 ‘테일러커피’와 함께 특별히 블렌딩한 ‘유니클로 스페셜 커피’를 선착순으로 증정한다. 세계적으로 인기를 얻고 있는 글로벌 아웃도어 브랜드 ‘헬리녹스’와 협업한 ‘사코슈’ 백을 10만원 이상 구매 고객에게 한정 수량으로 제공한다. 자세한 내용은 유니클로 온라인 스토어에서 확인할 수 있다.서지영 기자 seojy@edaily.co.kr

"
"태광산업, 스판덱스 ‘엘라핏’ 활용 <b>여름 패션</b> 상품 첫선","

“태광산업 40년 스판덱스 제조 기술력 담겨”



태광산업 제공[헤럴드경제=양대근 기자] 태광그룹 섬유·석유화학 계열사 태광산업은 자사 스판덱스 브랜드 ‘엘라핏(ELAFIT)’을 소재로 한 여름용 패션상품 3종을 첫 출시한다고 1일 밝혔다.태광산업은 국내 최초 스판덱스 상업생산에 성공한 바 있다. 엘라핏은 태광산업의 40년의 스판덱스 제조 기술력을 담았으며, 신축성과 탄력성이 뛰어나 다양한 용도의 원단에 적용이 가능한 것으로 평가된다. 편안한 착용감과 우수한 회복력을 요하는 속옷, 수영복, 스키복, 등산복, 요가복 등에 주로 사용되고 있다.이번에 론칭하는 여름용 패션상품 3종은 데이터홈쇼핑인 ‘쇼핑엔티’ 방송을 통해 첫 선을 보인다. 총 세 차례 홈쇼핑 방송을 통해 론칭되며 1일에는 여성속옷 콜라보 상품인 ‘인견 에어홀 브라팬티 패키지’를 통해 우수한 냉감 기능성 원단에 신축성과 탄성까지 갖춘 차별화 상품을 소개한다. 오는 2일과 3일에도 ‘엘라핏 썸머 팬츠 3종 세트’와 ‘메쉬 팬티속바지 6종 세트’를 각각 선보일 예정이다.엘라핏은 이번 홈쇼핑 방송을 시작으로 추후 타 홈쇼핑 방송을 기획해 본격적인 홈쇼핑 마케팅을 진행한다는 계획이다.태광산업 관계자는 “엘라핏의 뛰어난 상품성을 고객들에게 적극적으로 선보여 한국 최초 상용화에 성공한 태광산업 스판덱스의 위상을 회복해 나아가겠다고 밝혔다.

"
태광산업 <b>여름</b>용 스판덱스 상품 홈쇼핑 최초 론칭,"





태광그룹 섬유·석유화학 계열사 태광산업은 대표 합성섬유인 스판덱스 브랜드 '엘라핏(ELAFIT)'을 소재로 한 여름용 패션상품 3종을 데이터홈쇼핑인 '쇼핑엔티' 홈쇼핑 방송을 통해 최초 론칭한다고 1일 밝혔다. 엘라핏은 신축성과 탄력성이 뛰어나 다양한 용도의 원단에 적용이 가능하다. 국내 최초 스판덱스 상업생산에 성공한 태광산업의 엘라핏은 40년의 스판덱스 제조 기술력이 투영됐다. 편안한 착용감과 우수한 회복력을 요하는 속옷, 수영복, 스키복, 등산복, 요가복 등에 주로 사용된다. 총 세 차례 홈쇼핑 방송을 통해 론칭되는 엘라핏은 1일 여성속옷 콜라보 상품인 '인견 에어홀 브라팬티 패키지'를 통해 우수한 냉감 기능성 원단에 신축성과 탄성까지 갖춘 차별화 상품을 선보인다. 2일엔 여름철 야외 활동을 위한 신축성과 링클프리 기능성을 갖춘 여성팬츠 콜라보 상품인 '엘라핏 썸머 팬츠 3종 세트'를 방송한다. 또 6월 중순에는 더운 여름철에 보정, 팬츠, 속바지까지 한번에 해결할 수 있는 콜라보 여성속옷 상품인 '메쉬 팬티속바지 6종 세트'를 론칭할 예정이다. 태광산업 엘라핏은 이번 쇼핑엔티 홈쇼핑 방송을 시작으로 본격적인 홈쇼핑 마케팅을 진행한다. 태광산업 관계자는 ""우수 패션브랜드와 협업과 홈쇼핑 마케팅을 위해서 오랜 기간 기획하고 준비해온 만큼 엘라핏의 뛰어난 상품성을 고객들에게 적극적으로 선보이겠다""며 ""한국 최초 상용화에 성공한 태광산업 스판덱스의 위상을 회복할 것""이라고 말했다. 

"
"무신사, &apos;여행 전문관&apos;까지 개설…&quot;<b>패션</b> 넘는 플랫폼 다변화&quot;","

전문관 '트래블' 5월31일 도입전시·룩 제안에 여행 정보까지



[서울=뉴시스]지난달 31일 무신사가 도입한 여행 전문관 '트래블' 모바일 화면 모습. 2023.06.01[서울=뉴시스] 심동준 기자 = 무신사가 '여행 전문관'을 새로 열었다. 무신사가 만든 8번째 전문관이다. 온라인 플랫폼 저변을 넓히려는 시도로도 읽힌다. 2일 관련 업계에 따르면 무신사는 모바일 애플리케이션 내에서 인앱 형태로 독립 운영되는 여행 전문관 '트래블(TRAVEL)'을 최근 정식 도입했다.여행을 겨냥한 테마관 성격으로, 패션 뿐 만 아니라 각종 물품 등 여러 카테고리 상품에 더해 관련 정보들까지 한 번에 다루고 있는 게 특징이다. 실제 트래블엔 남성·여성·여름슈즈·수영복 등 분류 외에 캐리어·선글라스·모자·여행소품·바캉스뷰티·캠핑 카테고리까지 갖춰져 있다. 이와 함께 '휴양지 추천 원피스 앤드 탑 미리 준비하는 서머 바캉스룩', '골프여행 필수템', '주말에 가기 좋은 감각적인 전시 추천' 등 정보를 제안하기도 한다.아울러 '남녀 여행룩 제안'과 같이 코디네이팅과 함께 곧바로 구매로 연결할 수 있는 경로를 만들어둔 건 물론 '5월 도쿄여행 정보' 등 여행 관련 콘텐츠를 망라하고 있다. 무신사는 일상 회복에 따른 여행 수요 등을 고려해 트래블을 구성한 것으로 파악된다. 소비 추세에 발맞춰 브랜드, 상품을 선별 소개하는 큐레이션 제공인 셈이다. 이와 함께 트래블 도입은 상대적으로 패션 위주의 버티컬 플랫폼에서 영역을 다각화하는 관점에서도 바라볼 소지가 있어 보인다.지난해 무신사가 도입한 전문관은 럭셔리 편집숍, 골프, 뷰티, 유아동 브랜드 키즈, 상시 할인 아울렛, 스포츠 플레이어 등 비교적 전통적 패션 범주에 해당하는 것들이었다.하지만 지난 1월 '지속가능 어스' 전문관을 도입한 데 이어 이번에 트래블까지 도입하면서 보다 다양한 분야를 아우르는 전문관 라인을 보유하게 됐다.무신사 측은 트래블 운영에 대해 ""여행갈 때 참고할 만한 스타일링 팁이나 여행룩 등 콘텐츠도 다양하게 소개할 예정""이라며 ""여행지 맞춤 코디 등을 제안할 수도 있을 것""이라고 말했다．

"
레인부츠 품절 대란 “올<b>여름</b> 장마<b>패션</b> 유행!”,"





헌터 레인부츠. 사진 | 헌터[스포츠서울 | 최규리기자] 올여름은 5일 빼고 비가 내린다는 이른바 ‘장마 괴담’이 돌면서 장마철 패션 아이템 ‘레인부츠’가 품절 대란을 일으키고 있다.본격적 장마가 시작되면 상품이 품절되거나 배송이 늦어질 수 있어 미리 구매해 장마와 폭우에 대비하려는 것이다.헌터, 핏플랍, 바버, 락피쉬웨더웨어 등 레인부츠 인기 브랜드 제품은 이미 5월 초부터 물량이 동이 났다. 실제 공식 홈페이지를 들어가 보면 인기 상품은 전부 ‘품절’인 상태.이에 일부 소비자들은 영국이나 미국 공식 홈페이지에서 해외배송 통관을 거쳐서라도 원하는 상품을 구매하고 있다.또한 기존의 레인부츠들이 대부분 여성용이었다면 색상, 디자인, 길이감이 다양해지면서 남성 소비자들도 레인부츠를 찾고 있는 분위기다.이처럼 소비자들이 5월 초부터 장마 관련 용품을 구매하면서 유통업계도 함께 분주해졌다. 각 쇼핑 플랫폼과 백화점, 대형마트는 여름 상품 기획전을 지난해보다 한 달가량 빨리 시작해 장마 괴담 심리를 저격하고 있다.실제로 LF몰 내 ‘레인부츠’를 키워드로 한 검색량을 보면 지난해 같은 기간에 비해 26배나 급증했으며, 지난달과 비교해도 6배 늘었다.온라인 편집숍 무신사의 쇼핑 상품 랭킹순위권에도 레인부츠가 다수 포함돼있다. 무신사는 5월 들어 레인부츠 거래액이 지난해 같은 기간보다 15배 이상 증가했다고 밝혔다.무신사 관계자는 “올해 여름 장마를 앞두고 무신사 스토어에서 레인부츠를 찾는 고객이 크게 늘어났다”며 “특히 최근에는 레인부츠의 기장과 컬러 등이 다양해지면서 스타일리시한 패션 아이템으로도 주목받고 있다”라고 말했다.신세계백화점은 지난 4월 1일부터 지난 15일까지 샌들, 레인부츠 등 여름 신발 매출이 지난해 같은 기간에 비해 65.8% 증가했다고 밝혔다. 일찌감치 찾아온 더위에 여름 신발이 7∼8월 바캉스 시즌 못지않은 판매고를 올렸다.



레인코트 판매 상품. 사진 | 29CM‘레인부츠’만 인기인 것은 아니다. ‘레인코트’ 또한 소비자들의 관심 중 하나이다.무신사의 통합 탭에서도 레인코트는 총 926건이 검색됐으며, 일반 캐주얼 브랜드만이 아닌 아디다스, 케이투, 노스페이스 등 다양한 의류 브랜드에서 레인코트를 출시했다.온라인 쇼핑몰 지그재그는 레인코트와 우산 거래액도 3~5배 가까이 급증했다고 밝혔다.또 다른 온라인 편집숍 29CM도 다양한 레인코트를 선보였는데, 애견용 레인코트도 함께 선보여 이목을 끌고 있다.온라인 패션회사 W컨셉에서는 여름 상품과 관련해 다양한 프로모션을 선보였는데,  지난 1∼30일 레인부츠와 아쿠아슈즈 등 장마 용품 매출이 지난해 같은 기간 대비 15배 이상 증가했다고 밝혔다.레인부츠의 색상과 디자인이 다양해지면서 기존에 레인부츠를 가지고 있던 소비자들도 추가 구매에 나선 영향이 큰 것으로 풀이된다.이번에 레인부츠를 새로 구매한 한 소비자는 “장마철이 길어진다고 하니 왠지 매일 레인부츠를 신게 될 것 같아 하나 더 구매했다”며 “지난해보다 색상과 디자인이 더 다양해져서 놀랐다”고 말했다.



6, 7, 8월 날씨 전망. 사진 | 기상청한편 기상청은 7, 8월 저기압의 영향으로 평년보다 비가 내릴 확률이 40~50%라고 밝혔다. 특히 여름의 가장 더운달인 7월은 비가 오는 날이 많아질 것으로 내다봤다. 특히 엘리뇨 현상으로 강수량이 늘어날 수도 있다는 관측이 나온다.gyuri@sportsseoul.com

"
"롯데백화점, 해외<b>패션</b> 브랜드 시즌오프 진행","





    (서울=연합뉴스) 롯데백화점이 여름맞이 해외패션 시즌오프 행사를 진행한다고 1일 밝혔다. 사진은 서울 중구 롯데백화점 본점 '비비안웨스트우드' 매장에서 상품 구경하는 고객들. 2023.6.1 [롯데백화점 제공. 재판매 및 DB 금지]    photo@yna.co.kr

"
