제목,내용
128년 역사 英 ‘컨트리 웨어’… 도시의 <b>패션</b>을 흔들다[Premium Life],"





바버의 간판 제품인 보퍼트(Beaufort) 재킷. 1983년 사냥용 재킷으로 첫선을 보인 보퍼트 재킷은 주머니가 곳곳에 달려 있어 야외 활동에 좋다.■ Premium Life - 5대째 장인정신 이어온 ‘바버’1894년 ‘J 바버&선즈’ 출발기름칠 방수 ‘오일스킨 코트’선원들 사이서 큰 인기 끌어내구성 우수… 2차대전 군납‘모터사이클 재킷’ 인기 건재1990년대 왁스 재킷 등 개발매년 6만벌 ‘리왁싱’ 서비스LF, 2021년부터 국내에 선봬기존 강점 가진 재킷·코트 외티셔츠 등 여름의류 제품 늘려“‘서비스’라는 단어를 들어본 적 있나요. 서비스란 고객을 위해 가능한 모든 일을 다 하는 것을 의미합니다. 고객에게 어떤 작은 불편함이라도 발생하지 않도록 우리의 제품을 거래해준 사람을 위해 일하는 것이죠.”(1919년 바버 카탈로그 소개문 중)128년 역사를 가진 영국 패션 브랜드 바버(Barbour)는 5대째 장인 정신을 이어오는 가족 경영 기업이다. 영국의 변덕스러운 날씨, 자연과 벗하며 사는 사람들이 오래 입을 수 있는 ‘컨트리 라이프’에 적합한 옷을 제작하며 현재는 글로벌 패션 브랜드로 발돋움하고 있다. 스코틀랜드에서 태어난 바버의 창립자 존 바버(1849∼1918)는 20세 무렵 영국 북동부 지역에서 상인으로 일하던 중 1894년 사우스실즈 지역에 ‘J바버 & 선즈(J Barbour&Sons)’라는 작은 매장을 열었다. 매장에서는 영국의 거친 날씨로부터 몸을 보호해주는 ‘오일 스킨 코트’를 판매했는데, 이 옷은 선원이나 어부, 조선소 노동자들로부터 큰 인기를 얻었다. 오일 스킨은 면에 기름칠해 방수 기능을 입힌 것으로, 바버는 이를 ‘비콘(Beacon)’이라고 불렀다. 비콘은 영국 북동부를 흐르는 타인강 입구에 자리하고 있는 붉은색의 등대로, 선원들의 안전한 길잡이가 되어준다는 의미와 맞물려 더 큰 인기를 얻었다.



맨 위쪽부터 바버가 1908년 발행한 우편 카탈로그, 모터사이클 대회에서 바버 재킷을 입은 영국 선수들, 2차 세계대전 당시 바버 슈트를 입은 잠수함 선원들.존 바버의 아들인 맬컴 바버는 오일 스킨 의류를 항구 지역을 넘어 농장 지역으로 공급을 확대했다. 1917년 당시로는 혁신적인 카탈로그를 통해 우편 주문을 받는 시스템을 구축해 칠레, 남아프리카, 홍콩 등 다른 나라로 제품을 수출하게 된다. 우편 주문 카탈로그 사업은 전체 매출의 75%를 차지하는 성공적인 영업 전략으로 자리 잡았다.1차 세계대전이 발발하고 전장에서 방수 재킷 수요가 급격하게 증가하면서 바버는 영국군에 오일 스킨 의류 납품을 시작, 그 진가를 인정받게 된다. 2차 세계대전 중 바버는 내구성이 우수한 군용품까지 납품하게 되는데, 특히 모터사이클로 문서를 전달하던 병사들을 위해 납품한 ‘모터사이클 재킷’은 전쟁 후에도 큰 인기를 끌었다. 모터사이클 재킷은 맬컴 바버의 아들이자 모터사이클 애호가였던 덩컨 바버가 출시한 제품으로 일명 ‘바버 슈트’라고도 불렸다. 방풍·방수 효과가 탁월했던 바버 슈트는 모터사이클 라이딩을 즐기는 사람들에 의해 전쟁 후 급속도로 판매가 늘어나게 된다. 1936년 저명한 모터사이클 대회인 ‘인터내셔널 식스 데이 트라이얼’(ISDT)에서 영국 국가 대표들이 바버 슈트를 입으며 위상은 더욱 높아졌다. 영국 선수들이 바버의 옷을 입고 대회에 출전하며 ‘국가대표 모터사이클 재킷’이라는 이미지를 확실히 구축했다. 이후 바버 슈트를 근간으로 하는 모터사이클 기반의 브랜드 ‘바버 인터내셔널’이 새롭게 탄생하는 배경이 됐다.



바버의 창립자 존 바버.바버 인터내셔널이 전 세계적으로 이름을 알리게 된 건 전설적인 할리우드 배우 스티브 매퀸의 역할도 컸다. 1964년 독일에서 열린 ISDT에 출전한 스티브 매퀸은 인터내셔널 재킷을 입었다. 이때부터 바버 인터내셔널 재킷은 모터사이클 라이더뿐 아니라 일반 대중에게도 큰 인기를 끌게 된다. 현재에도 바버에서는 스티브 매퀸 컬렉션이 출시되고 있다. 이를 기반으로 바버는 1974년 당시 엘리자베스 여왕의 남편인 필립 공으로부터 첫 번째 ‘로열 워런트’를 받는 영광을 안았다. 1982년에는 엘리자베스 여왕으로부터, 1987년에는 찰스 왕세자로부터 로열 워런트를 또다시 획득하며 영국을 대표하는 패션기업으로 거듭나게 된다. 바버는 1990년대 이르러서 특유의 왁스 재킷과 퀼팅 아우터 외에도 통기성이 좋은 워터프루프 의류를 개발하며 제품군을 확장했다. 더욱 다양해진 제품 포트폴리오를 기반으로 바버는 국제 무대로 영역을 본격적으로 확장해 나갔다. 특히 바버의 왁스재킷은 매년 6만 벌 이상이 고객 요청으로 다시 왁스를 칠하는 등 수선을 받는다. 왁스를 다시 칠해가며 입는 바버의 리왁싱 서비스는 1921년 제작된 바버의 카탈로그에도 기록된 고유의 문화로 바버의 독자적인 품질의 근간으로 평가받는다. 



영국 시몬사이드에 있는 바버 공장에서 직원들이 옷을 만들고 있다. 현재 바버는 전통적인 컨트리 웨어에서 시작해 남성, 여성, 어린이들이 도심에서도 입기 좋은 옷을 함께 선보이며 대중적인 인기를 누리고 있다. 재킷과 코트는 물론, 팬츠, 셔츠, 니트웨어, 양말, 신발, 액세서리, 나아가 강아지를 위한 컬렉션에 이르기까지 모든 세대가 입을 수 있는 라이프 스타일 영역으로 확장 중이다. 국내에서 바버는 지난 2021년부터 생활문화기업 LF가 국내 시장에 전개하며 다양한 라인업을 선보이고 있다. LF 전개 3년 차를 맞는 올해에는 기존 바버가 강점을 가진 재킷과 코트 외에도 칼라 티셔츠와 반팔, 그래픽 티셔츠 등 여름 의류까지 라인업을 확대해 더욱 다채로운 제품을 선보일 계획이다. 

"
레인부츠 품절 대란 “올여름 장마<b>패션</b> 유행!”,"





헌터 레인부츠. 사진 | 헌터[스포츠서울 | 최규리기자] 올여름은 5일 빼고 비가 내린다는 이른바 ‘장마 괴담’이 돌면서 장마철 패션 아이템 ‘레인부츠’가 품절 대란을 일으키고 있다.본격적 장마가 시작되면 상품이 품절되거나 배송이 늦어질 수 있어 미리 구매해 장마와 폭우에 대비하려는 것이다.헌터, 핏플랍, 바버, 락피쉬웨더웨어 등 레인부츠 인기 브랜드 제품은 이미 5월 초부터 물량이 동이 났다. 실제 공식 홈페이지를 들어가 보면 인기 상품은 전부 ‘품절’인 상태.이에 일부 소비자들은 영국이나 미국 공식 홈페이지에서 해외배송 통관을 거쳐서라도 원하는 상품을 구매하고 있다.또한 기존의 레인부츠들이 대부분 여성용이었다면 색상, 디자인, 길이감이 다양해지면서 남성 소비자들도 레인부츠를 찾고 있는 분위기다.이처럼 소비자들이 5월 초부터 장마 관련 용품을 구매하면서 유통업계도 함께 분주해졌다. 각 쇼핑 플랫폼과 백화점, 대형마트는 여름 상품 기획전을 지난해보다 한 달가량 빨리 시작해 장마 괴담 심리를 저격하고 있다.실제로 LF몰 내 ‘레인부츠’를 키워드로 한 검색량을 보면 지난해 같은 기간에 비해 26배나 급증했으며, 지난달과 비교해도 6배 늘었다.온라인 편집숍 무신사의 쇼핑 상품 랭킹순위권에도 레인부츠가 다수 포함돼있다. 무신사는 5월 들어 레인부츠 거래액이 지난해 같은 기간보다 15배 이상 증가했다고 밝혔다.무신사 관계자는 “올해 여름 장마를 앞두고 무신사 스토어에서 레인부츠를 찾는 고객이 크게 늘어났다”며 “특히 최근에는 레인부츠의 기장과 컬러 등이 다양해지면서 스타일리시한 패션 아이템으로도 주목받고 있다”라고 말했다.신세계백화점은 지난 4월 1일부터 지난 15일까지 샌들, 레인부츠 등 여름 신발 매출이 지난해 같은 기간에 비해 65.8% 증가했다고 밝혔다. 일찌감치 찾아온 더위에 여름 신발이 7∼8월 바캉스 시즌 못지않은 판매고를 올렸다.



레인코트 판매 상품. 사진 | 29CM‘레인부츠’만 인기인 것은 아니다. ‘레인코트’ 또한 소비자들의 관심 중 하나이다.무신사의 통합 탭에서도 레인코트는 총 926건이 검색됐으며, 일반 캐주얼 브랜드만이 아닌 아디다스, 케이투, 노스페이스 등 다양한 의류 브랜드에서 레인코트를 출시했다.온라인 쇼핑몰 지그재그는 레인코트와 우산 거래액도 3~5배 가까이 급증했다고 밝혔다.또 다른 온라인 편집숍 29CM도 다양한 레인코트를 선보였는데, 애견용 레인코트도 함께 선보여 이목을 끌고 있다.온라인 패션회사 W컨셉에서는 여름 상품과 관련해 다양한 프로모션을 선보였는데,  지난 1∼30일 레인부츠와 아쿠아슈즈 등 장마 용품 매출이 지난해 같은 기간 대비 15배 이상 증가했다고 밝혔다.레인부츠의 색상과 디자인이 다양해지면서 기존에 레인부츠를 가지고 있던 소비자들도 추가 구매에 나선 영향이 큰 것으로 풀이된다.이번에 레인부츠를 새로 구매한 한 소비자는 “장마철이 길어진다고 하니 왠지 매일 레인부츠를 신게 될 것 같아 하나 더 구매했다”며 “지난해보다 색상과 디자인이 더 다양해져서 놀랐다”고 말했다.



6, 7, 8월 날씨 전망. 사진 | 기상청한편 기상청은 7, 8월 저기압의 영향으로 평년보다 비가 내릴 확률이 40~50%라고 밝혔다. 특히 여름의 가장 더운달인 7월은 비가 오는 날이 많아질 것으로 내다봤다. 특히 엘리뇨 현상으로 강수량이 늘어날 수도 있다는 관측이 나온다.gyuri@sportsseoul.com

"
&quot;한국판 유니클로 나오지 말란 법 없다&quot;…개혁 꿈꾸는 코웰<b>패션</b> [하수정의 티...,"

이순섭 코웰패션 회장 인터뷰""세상에 없던 글로벌 패션 파이프라인 추진""영국 국민 캐쥬얼 '슈퍼드라이' 아시아IP 인수홈쇼핑 속옷사업으로 시작해 40여개 브랜드 확장로젠택배 인수 후 연 매출 1조로 성장



""세상에 없던 '글로벌 패션 파이프라인'이 곧 탄생합니다.""  이순섭 코웰패션 회장(사진)은 ""나는 야망이 있다""고 고백했다. 30일 서울 여의도 코웰패션 회장 집무실에서 만난 그는 ""일본 '유니클로'에 대항하는 글로벌 브랜드를 빠른 시간내에 키울 계획을 세우고 있다""고 연신 강조했다.  시가총액 100조원, 연 매출 20조원, 업력 50년에 달하는 유니클로를 이제 막 매출 1조원을 넘긴 20년 업력의 코웰패션이 어떻게 맞설 수 있을까. 이 같은 질문에 이 회장은 화이트보드 위에 그림을 그리기 시작했다. 코웰패션을 중심으로 글로벌 브랜드와 국내 유통사, 해외 파트너사들이 손 잡은 '글로벌 패션 파이프라인' 구조를 설명하기 위해서다.   ○ 아시아 공략 승부수, 슈퍼드라이이 회장은 패션 개혁을 꿈꾼다. 이 회장은 ""그동안 해오지 않았던 형태의 패션사업을 조만간 공개할 방침""이라고 밝혔다. 해외 브랜드를 빌려 수수료를 주고 생산·판매하는 '라이선스 사업'이나 위탁생산 중심의 주문자상표부착생산(OEM)에 치중했던 국내 패션기업들의 한계를 뛰어넘겠다는 복안이다. 그는 유명 브랜드의 지식재산권(IP)을 인수한 후 국내·외 유통사들과의 합종연횡을 통해 빠르게 시장을 장악하는 '글로벌 패션 파이프라인' 구축을 추진 중이다. 글로벌 패션 파이프라인 1호는 '영국 국민 캐쥬얼 브랜드'인 슈퍼드라이. 이 회장은 '한국판 유니클로'의 꿈을 시작하기에 적합한 브랜드를 오랜 기간 찾아왔다. ▷매출 1조원 수준, 매장 500개 이상의 규모화가 돼 있고 ▷남녀 모두 선호하는 글로벌 인지도를 갖추면서도 ▷국내에 아직 진출하지 않은 브랜드라는 조건이다.여기에 부합하는 브랜드는 영국의 슈퍼드라이가 유일했다고 이 회장은 전했다. 코웰패션은 지난 3월 중국 기업들을 제치고 슈퍼드라이의 아시아태평양 지역(인도, 호주, 뉴질랜드 제외) 40여개국의 지식재산권(IP)을 5000만달러(660억원)에 인수하는 데 성공했다. 라이선스 사업은 한정된 계약기간동안 본사에 로열티를 주는 구조인 반면, IP인수는 상표권을 영구히 갖게 된다는 점에서 차이가 있다. 이 회장은 ""국내에서 유니클로에 대항하는 신규 브랜드를 만들어봤자 해외 진출하면 인지도가 없어 바닥에서 시작해야한다""며 ""해외에 바로 나가도 승부를 볼 수 있는 유명 브랜드의 IP 인수를 갈망해왔다""고 설명했다.  ○""10조 가치의 기업 만들 것""이 회장은 ""슈퍼드라이를 아시아에서 '메가 브랜드'로 키울 판을 이미 짜 놓았다""고 했다. 그는 기획 디자인 생산 마케팅을 맡는 코웰패션을 중심으로 국내외 파트너사들과 손을 잡는 글로벌 패션 파이프라인을 소개했다. 다음 달 말께 대형 유통사와 합작법인을 세우는 작업이 첫 단계다. 유통사와 이익을 공유하는 합작법인을 통해 유통사 스스로 브랜드를 확산시키는 데 적극 나서는 구조를 만들겠다는 계획이다. 해외 파트너사들과 동남아시아 공략을 시작한 후 중국 시장은 시차를 두고 진입키로 했다.  코웰패션이 슈퍼드라이 영국본사에 10년간 5억 달러(6600억원)규모의 역수출을 하는 방안도 성사될 것으로 예상된다. ""만에 하나 슈퍼드라이 아시아 사업이 실패하더라도 본사 역수출 물량이라는 안전판이 있다""는 게 이 회장의 설명이다.  이 회장의 꿈은 크다. 슈퍼드라이를 아시아에서 연 1조원 매출 브랜드로 키우겠다는 목표를 세웠다. 글로벌 패션 파이프라인을 통해 슈퍼드라이가 성공하면, 다른 브랜드들도 이 파이프라인에 잇따라 들어올 것으로 기대하고 있다. 글로벌 브랜드 10개 이상을 확보해 10조원의 기업가치를 만드는 게 그의 야망이다.  이 회장은 ""유니클로, GAP 등 초대형 글로벌 브랜드를 운영하는 패션기업이 한국에 나오지 말란 법은 없다""며 ""남들이 가지 않은 길을 걸으며 패션계 이정표를 세우고 싶다""고 했다. ○""정체되면 죽는다"" 역성장 없는 코웰패션코웰패션이 단순 홈쇼핑용 속옷회사라고 생각하면 오산이다. 코웰패션은 40여개 글로벌 브랜드의 언더웨어, 스포츠웨어, 화장품, 가방 등 패션의 거의 모든 분야를 제작 판매한다. 아디다스, 캘빈 클라인 등도 처음엔 코웰패션에 언더웨어 부문을 맡겼지만 이후 판매 실적을 본 뒤 의류까지 확장했다.   이렇게 글로벌 브랜드와의 네트워크가 확장된 데는 이 회장의 집념이 있었다. 그는 ""브랜드의 오너에게 직접 이메일을 보내고 찾아가며 수 년간 연락 시도를 하는 것이 비결이라면 비결""이라고 했다. 캘빈 클라인은 5년만에, 아디다스는 3년만에 브랜드 제조 및 판권을 따냈다. ""거절당하는 것은 두렵지 않습니다. 올해 거절당했다고 내년, 내후년까지 또 거절 당하는 것은 아니니까요.""코웰패션은 2002년 설립 후 단 한해도 역성장이 없었다. 적자도 없었다. 권오일 대명화학 회장을 만나 대명화학 계열의 필코전자와 합병, 2015년 코스닥에 상장했다. 코웰패션에 전자사업부가 있는 이유다. 2021년엔 로젠택배를 인수해 물류사업과 시너지를 모색중이다. 

"
이른 더위에 벌써 여름 모드…장마<b>패션</b> 뜬다,"

  



핏플랍의 레인부츠. [사진 LF]           이른 무더위와 잇따른 비 소식에 레인부츠와 레인코트 등 장마 관련 상품에 대한 관심이 커지고 있다. 패션 업계에선 ‘웨더웨어(날씨 의류)’ 장르가 등장하는 등 ‘장마 패션’이 새롭게 주목받는 모양새다.      LF는 5월 들어 ‘레인부츠’ 등 장마 패션 아이템에 대한 소비자들의 높아진 관심이 판매 호조로 이어지고 있다고 29일 밝혔다. LF에 따르면 이달 1~23일 LF몰 내 ‘레인부츠’를 키워드로 한 검색량이 전년 대비 26배, 전달 대비 6배 급증했다. 인기 검색어 상위에도 꾸준히 ‘레인부츠’ ‘핏플랍’ 등 여름 신발 연관 키워드가 오르고 있다.      이 같은 관심은 판매로도 이어지고 있다. LF가 수입·판매하는 영국 브랜드 ‘바버’가 올해 새로 내놓은 레인부츠의 5월 매출은 전달 대비 3배 이상 급증했다. ‘핏플랍’의 레인부츠도 올해 봄·여름 신제품을 내놓기 무섭게 팔리고 있다.      고무 소재의 ‘러버(Rubber) 슈즈’도 인기다. 미국 아웃도어 신발 브랜드 ‘킨’의 고무 소재 슬리퍼는 이달 들어 지난해 같은 기간 대비 매출이 2배 늘었으며, 전월 대비 80% 증가했다.      LF 신발 사업부 관계자는 “핏플랍 레인부츠는 5월 들어 예상 판매량을 350% 상회했다”며 “올해 장마가 유난히 길다는 소식에 고객들이 미리부터 장마 준비에 나선 것으로 보인다”고 말했다.      패션 업계는 발 빠르게 기획전을 여는 등 대처에 나섰다. 패션 플랫폼 무신사는 ‘무신사 기상청 호우주의보’라는 기획전을, 또 다른 패션 플랫폼 29CM도 ‘비 오는 날을 대비해요’라는 기획전을 진행하며 관련 아이템들을 추천하고 있다.      ‘웨더웨어(날씨 의류)’라는 새로운 장르를 개척한 브랜드도 등장했다. 최근 패션 업계에서는 ‘워크웨어(작업복)’ ‘낚시의류’ 등 기능성과 디자인을 무기로 틈새시장을 공략하려는 시도가 나타나고 있다.      레인부츠로 인기를 끌었던 ‘락피쉬웨더웨어’는 비 올 때 입는 신발·의류·액세서리 전반으로 라인업을 확장, 국내 최초로 날씨 의류를 표방하고 나섰다. 이 브랜드는 지난 4일 서울 성수동에 3층 규모의 플래그십 스토어(대표 매장)를 내는 등 공격적으로 유통망을 넓혀가고 있다.  

"
"아이브 이서, 알렉산더 멕퀸 선글라스로 시크+도도 <b>패션</b> 완성","
 
사진=알렉산더 맥퀸(Alexander McQueen) 제공그룹 아이브 멤버 이서가 알렉산더 맥퀸 제품으로 완성도 높은 패션을 선보였다.26일 이서는 앨범 프로모션으로 김포공항을 통해 일본 도쿄로 출국했다.이서는 이날 화이트 로고 티셔츠와 셔츠 그리고 블랙 미니 스커트로 블랙&화이트 컬러의 ‘와이투 케이’ 룩을 연출했다. 특히 그는 블랙 컬러 바이커 미니 주얼 사첼백과 볼드 캣 아이 선글라스, 그리고 트레드 슬릭 부츠를 더해 특유의 시크하면서도 러블리한 분위기를 배가시켰다. 
사진=아이브 공식 인스타그램 캡처아이브 공식 인스타그램에서도 만날 수 있었던 이서의 공항패션 아이템은 모두 영국의 럭셔리 브랜드 알렉산더 맥퀸(Alexander McQueen) 제품이다. 이서의 스타일의 완성도를 높였던 알렉산더 맥퀸의 볼드 캣 아이 선글라스는 셀럽들이 애정하는 아이템으로도 알려졌다.한편 아이브 이서가 착용한 알렉산더 맥퀸 제품들은 모두 각 부티크와 공식 온라인 스토어에서 만날 수 있다.김지혜 기자 jahye2@edaily.co.kr
			"
"아이브 이서, 일본 출국 &apos;알렉산더 맥퀸&apos; 공항 <b>패션</b>","





5월 26일 오전 아이브(IVE) 멤버 이서가 앨범 프로모션으로 김포공항을 통해 일본 도쿄로 출국했다.아이브 이서는 화이트 로고 티셔츠와 셔츠 그리고 블랙 미니 스커트로 블랙&화이트 컬러의 y2k 룩을 연출해 특유의 시크하면서도 러블리한 무드를 배가시켰다. 여기에 블랙 컬러 바이커 미니 주얼 사첼백과 볼드 캣 아이 선글라스, 그리고 트레드 슬릭 부츠를 더해 스타일링의 완성도를 높였다.아이브 공식 인스타그램에서도 만날 수 있었던 이서의 공항패션 아이템은 모두 영국의 브랜드 알렉산더 맥퀸(Alexander McQueen) 제품이다. 스타일의 완성도를 높였던 알렉산더 맥퀸의 볼드 캣 아이 선글라스는 셀럽들이 애정하는 아이템으로도 알려졌다.한편, 아이브 이서가 착용한 알렉산더 맥퀸 제품들은 모두 각 부티크와 공식 온라인 스토어에서 만날 수 있다.

"
[위클리 포토브리핑] 칸 영화제 레드카펫의 화려한 <b>패션</b>쇼,"

										위클리 포토브리핑 뉴스레터 구독하기 ☞ https://page.stibee.com/subscriptions/106822지난 16일부터 프랑스 남부 칸에서는 국제 영화제의 메카 ‘칸 영화제’가 열리고 있습니다. 이번 영화제는 경쟁부문에 초청된 한국 영화가 없어 한국 언론들의 보도도 뜸한 것 같습니다.하지만 외신들은 연일 경쟁부문 진출작 상영일에 맞춰 감독과 배우들의 포토콜 사진과 게스트들의 화려한 레드카펫 사진을 수백장씩 쏟아내고 있습니다. 영화제에서는 보통 배우들의 화려한 패션이 전세계 팬들에게 영화보다 더 주목을 받곤 합니다. 이번 주에는 칸 영화제 레드카펫에 선 배우들과 게스트로 초청된 모델들의 화려하고 독특한 패션 사진들을 골랐습니다. 즐거운 주말 되십시오.◇독일 모델 하이디 클룸의 도발적 드레스



제76회 칸 영화제 경쟁 부문 영화 ""도댕 부팡의 열정""을 상영하는 5월 24일 레드 카펫에 도착한 독일 모델 하이디 클룸이 노란색 드레스를 입고 포즈를 취하고 있다./EPA 연합뉴스										◇레오니 한네의 장미장식이 달린 연분홍 드레스



제76회 칸 영화제 경쟁부문 영화 '아스테로이드 시티' 상영을 앞두고  인플루언서  레오니 한네가 장미레이스 장식을 한 연분홍색 드레스를 입고 레드카펫을 밟고 있다./로이터 연합뉴스										◇미국 모델 자스민 툭의 붉은 드레스



제76회 칸 영화제 경쟁 부문 영화 '아스테로이드 시티' 상영을 앞두고 미국 모델 자스민 툭스가 붉은색 드레스를 입고 레드카펫을 밟고 있다./로이터 연합뉴스										◇ 스웨덴 모델 엘사 호스크의 독특한 드레스



독특한 의상을 입은 스웨덴 모델 엘사 호스크가 24일(현지시간) 프랑스 남부 칸에서 열린 제76회 칸 국제영화제 영화 '포토푀' 시사회에 참석하며 사진기자들을 향해 포즈를 취하고 있다. /AP 연합뉴스										◇TV시리즈 ‘아이돌’로 칸 무대선 제니 김



제76회 칸 영화제 비경쟁부문 TV 시리즈 '아이돌'에 출연한 제니 김이 포토콜에서 포즈를 취하고 있다. /로이터 연합뉴스										◇영국 모델 주단 던의 패션



영국 모델 주단 던이 5월 24일(현지시간) 프랑스 남부 칸에서 열린 제76회 칸 영화제에서 영화 '도댕 부팡의 열정' 상영을 앞두고 레드카펫에 도착해 포즈를 취하고 있다./AFP 연합뉴스										◇불에 타다만 드레스?... 새로운 개념의 패션



5월 24일 제76회 칸 영화제 경쟁 부문에 진출한 영화 '도댕 부팡의 열정' 상영을 앞두고 로다 모하메드가 불레 그을린 듯한 드레스를 입고 레드카펫에 도착해 포즈를 취하고 있다./로이터 뉴스1 



제76회 칸 영화제 경쟁 부문에 진출한 영화 '도댕 부팡의 열정' 상영을 앞두고 레드카펫에 도착한 소말리아출신 노르웨이 모델겸 여성운동가 로다 모하메드가 불에 그을린 듯한 드레스를 입고 포즈를 취하고 있다./로이터 뉴스1										◇모자야? 드레스야?



5월 24일(현지시간) 프랑스 남부 칸에서 열린 제76회 칸 영화제 경쟁부문 진출작 '도댕 부팡의 열정' 상영을 앞두고 커다란 창이 달린 검은 모자를 쓰고 레드카펫에 도착한 영국 모델 이크람 압디 오마르가 포즈를 취하고 있다/AFP 연합뉴스										◇소품하나까지 패션



제76회 칸 영화제 경쟁 부문 영화 ""일 솔 델 아벤느""(더 밝은 내일) 상영 을 앞두고 레드카펫에 도착한 한 게스트의 핸드백./로이터 뉴스1										◇패션은 발목에서 완성



제76회 칸 영화제 경쟁부문 영화 ""일 솔 델 아벤느"" 상영을 앞두고 레드카펫에 도착한 카탈리나 제이콥스의 하이힐./로이터 뉴스1										◇라디오야 핸드백이야?



제76회 칸 영화제 경쟁부문 진출작 ""일 솔 델 아베니르""(더 밝은 내일) 상영을 앞두고 레드카펫에 도착한 한 여성 게스트가 독특한 핸드백을 들고 있다./로이터 뉴스1										◇여성 하체 모양의 하이힐 굽



5월 21일 제76회 칸 영화제  경쟁부문 진출작 '파이어브랜드' 상영을 앞두고 레드카펫에 도착한 한 게스트의 독특한 굽을 한 하이힐./로이터 연합뉴스										◇검은 정장 차림의 레드카펫 포토그래퍼들



미국 배우 스칼렛 요한슨이 23일(현지시간) 프랑스 남부 칸에서 열린 제76회 칸 영화제에서 영화 '아스테로이드 시티' 상영을 앞두고 레드카펫에 도착하자 검은 정장을 입은 수백명의 포토그래퍼들이 사진 촬영을 하고 있다./AFP 연합뉴스										위클리 포토브리핑 뉴스레터 구독하기 ☞ https://page.stibee.com/subscriptions/106822

"
"아이브(IVE) 이서, 알렉산더 맥퀸 선글라스 들고 시크한 공항<b>패션</b> 선봬","
  
   알렉산더 맥퀸(Alexander McQueen). 사진=아이브 인스타그램    알렉산더맥퀸(Alexander McQueen)은 26일 오전 아이브(IVE) 멤버 이서가 앨범 프로모션으로 김포공항을 통해 일본 도쿄로 출국했다고 밝혔다.     브랜드에 따르면 아이브 이서는 화이트 로고 티셔츠와 셔츠 그리고 블랙 미니 스커트로 블랙&화이트 컬러의 y2k 룩을 연출해 이서 특유의 시크하면서도 러블리한 무드를 배가시켰다. 이서는 여기에 블랙 컬러 바이커 미니 주얼 사첼백과 볼드 캣 아이 선글라스, 그리고 트레드 슬릭 부츠를 더해 스타일링의 완성도를 높였다.     아이브 공식 인스타그램에서도 만날 수 있었던 이서의 공항패션 아이템은 모두 영국의 럭셔리 브랜드 알렉산더 맥퀸(Alexander McQueen) 제품이다. 이서의 스타일의 완성도를 높였던 알렉산더 맥퀸의 볼드 캣 아이 선글라스는 셀럽들이 애정하는 아이템이라는 것이 브랜드 측 설명이다.     한편, 아이브 이서가 착용한 알렉산더 맥퀸 제품들은 모두 각 부티크와 공식 온라인 스토어에서 만날 수 있다.        황지혜 기자
"
아이브(IVE) ‘이서’ 알렉산더 맥퀸 선글라스 들고 시크한 공항<b>패션</b>,"
				
				
				[텐아시아=윤준호 기자] 
5월 26일 금요일 오전 아이브(IVE) 멤버 이서가 앨범 프로모션으로 김포공항을 통해 일본 도쿄로 출국했다.아이브 이서는 화이트 로고 티셔츠와 셔츠 그리고 블랙 미니 스커트로 블랙&화이트 컬러의 y2k 룩을 연출했다. 이서 특유의 시크하면서도 러블리한 무드를 배가시켰다. 이서는 여기에 블랙 컬러 바이커 미니 주얼 사첼백과 볼드 캣 아이 선글라스, 그리고 트레드 슬릭 부츠를 더해 스타일링의 완성도를 높였다. 
아이브 공식 인스타그램에서도 만날 수 있었던 이서의 공항패션 아이템은 모두 영국의 럭셔리 브랜드 알렉산더 맥퀸(Alexander McQueen) 제품이다. 이서의 스타일의 완성도를 높였던 알렉산더 맥퀸의 볼드 캣 아이 선글라스는 셀럽들이 애정하는 아이템으로도 알려졌다.한편, 아이브 이서가 착용한 알렉산더 맥퀸 제품들은 모두 각 부티크와 공식 온라인 스토어에서 만날 수 있다.윤준호 텐아시아 기자
			"
"아이브 ‘이서’, 맥퀸 룩으로 블랙&amp;화이트 공항<b>패션</b> 완벽 소화","





알렉산더 맥퀸(Alexander McQueen) / 아이브 인스타그램아이브(IVE) 멤버 이서가 26일 오전 앨범 프로모션으로 김포공항을 통해 일본 도쿄로 출국했다.아이브 이서는 화이트 로고 티셔츠와 셔츠 그리고 블랙 미니 스커트로 블랙&화이트 컬러의 y2k 룩을 연출해 이서 특유의 시크하면서도 러블리한 무드를 배가시켰다. 이서는 여기에 블랙 컬러 바이커 미니 주얼 사첼백과 볼드 캣 아이 선글라스, 그리고 트레드 슬릭 부츠를 더해 스타일링의 완성도를 높였다.아이브 공식 인스타그램에서도 만날 수 있었던 이서의 공항패션 아이템은 모두 영국의 럭셔리 브랜드 알렉산더 맥퀸(Alexander McQueen) 제품이다. 이서의 스타일의 완성도를 높였던 알렉산더 맥퀸의 볼드 캣 아이 선글라스는 셀럽들이 애정하는 아이템으로도 알려졌다.한편, 아이브 이서가 착용한 알렉산더 맥퀸 제품들은 모두 각 부티크와 공식 온라인 스토어에서 만날 수 있다.
		
"
