제목,내용
<b>일본</b>서 13시간만에 130억 판매고 올린 &apos;왕홍 마케팅&apos; 스타트업,"





중국 왕홍(網紅, 인플루언서) 기반 라이브커머스 기업 레이블코퍼레이션이 일본에서 '쉬샨(徐杉, Sherry)'과 함께 13시간 동안 진행한 라이브커머스를 통해 130억원의 판매고를 기록했다고 2일 밝혔다. 2014년 설립된 레이블코퍼레이션은 왕홍의 라이브커머스를 통해 기업의 중국 마케팅을 돕고, 왕홍 네트워크와 함께 중국 마케팅 노하우를 기반으로 기업의 중국 시장 진출을 지원한다.쉬샨은 중국 동영상 소셜미디어(SNS) 플랫폼인 '콰이쇼우(快手, Kuaishou)'에서 800만명에 육박하는 팔로워를 보유한 왕홍이다. 화장품·패션 카테고리의 명품 브랜드 위주로 라이브커머스를 진행한다. 레이블코퍼레이션은 이번 라이브커머스에서 중국 마케팅·유통 경험을 기반으로 중국 현지 데이터를 분석해 소비 트렌드에 알맞은 일본 현지 제품 30개를 선보이며 중국 소비자들의 호응을 이끌어냈다.특히 2030 중국 여성의 가정용 미용기기에 대한 높은 관심도를 파악하고 일본 미용기기를 주력 상품으로 구성해 흥행을 견인했다는 설명이다. 이번 일본 진출 프로모션을 계기로 글로벌 진출을 본격화할 계획이다. 이성탄 레이블코퍼레이션 각자대표는 ""오는 8월 호주와 뉴질랜드로 글로벌 비즈니스 영역 확대를 준비하고 있으며 베트남, 인도네시아 등 동남아시아 지역 진출도 적극 검토하고 있다""고 말했다. [머니투데이 스타트업 미디어 플랫폼 '유니콘팩토리']

"
"3세대 명품 플랫폼 젠테, <b>일본</b> 서비스 오픈… 글로벌 확장 본격화","

6월 일본을 시작으로 본격 해외 진출글로벌 투자사 손잡고 동남아시아, 북미까지 서비스 확대 예정



(사진=젠테)[이데일리 이윤정 기자] 명품 플랫폼 젠테가 일본 서비스를 오픈하며 해외 진출에 나선다.젠테는 일본의 대형 직구 플랫폼과 협약을 맺고 오는 6월부터 양사의 API 연동을 통해 젠테가 보유한 100여 개 부티크의 100만 개 이상의 상품 데이터를 제공한다고 1일 밝혔다.패션 선진국 일본에서 젠테에 먼저 손을 내민 것은 매우 이례적인 일이다. 일본의 젊은 세대를 중심으로 한국의 패션과 문화가 하나의 트렌드로 자리 잡으면서 젠테의 트렌디하고 합리적인 가격의 다양한 상품에 반한 일본 소비자들의 이용이 지난해부터 급증했고, 젠테에 대한 업계의 관심도 높아지며 이번 협약이 이루어졌다. 이번 일본 서비스 오픈으로 젠테는 2023년 하반기 약 10억엔 이상의 추가 매출을 기대하고 있다.올해 설립 3년 차인 젠테는 국내 시장에서 고속 성장을 경험하며 얻은 노하우를 통해 일본 패션 시장에서도 탄탄한 입지를 구축할 수 있을 것으로 보인다. 젠테는 이번 일본 진출을 계기로 글로벌 성장 가능성을 높게 평가받으며 2024년 하반기에는 투자자인 MDI Ventures와의 협업을 통해 인도네시아, 말레이시아 등 동남아시아 서비스를 오픈하고, 추후 중동과 북미까지 서비스를 확장할 계획이다. 정승탄 젠테 대표는 “풍부한 부티크 네트워크, 선제적인 소싱 능력, 가격 경쟁력 등 젠테의 강점이 일본 명품 패션 시장에서도 좋은 평가를 받았다는 것이 고무적”이라며 “국내에서 서비스를 운영하며 쌓은 판매 데이터를 기반으로 올해 아시아를 넘어 세계시장으로 판로를 넓혀 글로벌 패션 플랫폼으로 거듭나겠다”라고 말했다.

"
"[사진]한혜진,&apos;스포티한 공항<b>패션</b>&apos;","
 
[OSEN=김포국제공항, 박준형 기자] 모델 한혜진이 2일 오후 서울 김포국제공항을 통해 해외일정 참석차 일본 하네다로 출국했다.한혜진이 출국에 앞서 포즈를 취하고 있다.   2023.06.02/ soul1014@osen.co.kr
"
"[포토]한혜진, 캐주얼한 모자<b>패션</b>","
 
[헤럴드POP=민선유 기자]모델 한혜진이 2일 오후 해외일정 참석차 김포국제공항을 통해 일본으로 출국하고 있다.
"
"<b>패션</b> 브랜딩 스타트업 이스트엔드, 50억 규모의 시리즈B 투자 유치","

BNK벤처투자, 캡스톤파트너스, 우리은행에서 투자 참여… 누적 투자액 130억자체 생산부터 마케팅, 유통까지 내재화된 D2C 기반 패션 스타트업국내 시장에서의 브랜드 경쟁력 강화 및 해외 시장 진출 목표



 사진=이스트엔드패션 브랜딩 스타트업 이스트엔드(대표 김동진)는 시리즈B 투자로 50억 원을 유치했다고 밝혔다.이번 투자는 BNK벤처투자, 우리은행이 참여했으며, 캡스톤파트너스는 지난 시리즈에 이은 후속 투자자로 참여했다. 이로써 누적 투자액은 130억원으로, 패션 플랫폼 운영사를 제외한 브랜드 운영사로서 최고액으로 꼽힌다. 특히 BNK벤처투자와 우리은행은 패션 브랜드 운영사에 대한 첫 투자로 이스트엔드만의 패션 브랜드 육성 능력과 데이터 기반의 생산 및 재고 관리 성과 등을 높이 평가받았다는 게 회사 측의 설명이다.2016년에 설립된 이스트엔드는 시티브리즈, 아티드, 로즐리, 후머 등 5개의 자체 브랜드를 온라인 D2C 기반으로 운영하고 있다. 주요 고객 층의 소비 트렌드를 반영해 다양한 디자인의 옷을 소량생산하는 방식을 추구한다. 디자인부터 생산, 물류, 마케팅 및 판매까지 모든 과정을 내재화해 고품질의 상품을 합리적인 가격에 제공한다. 또한, 온라인 판매에 적합한 반응형 생산체제를 구축, 오프라인 매장 중심의 브랜드 보다 낮은 재고율을 자랑한다.차별화된 유통 및 판매 구조와 마케팅 전략으로 무신사, W컨셉, 29CM 등 주요 패션 플랫폼에서 인기 브랜드로 자리매김했다. 이스트엔드의 누적 거래액은 2022년 기준 500억원을 돌파했으며, 연간 90% 이상의 성장세를 이어 가고 있다.이스트엔드는 이번 투자를 통해 브랜드 경쟁력 강화와 글로벌 진출을 위한 기반 마련에 주력할 계획이다. 브랜드 리뉴얼과 마케팅으로 고객과의 접점을 확대하여 국내 시장에서 입지를 더욱 공고히 한다는 방침이다.중국, 일본, 동남아시아 등 해외 시장 진출도 목표로 하고 있다. 본격적인 해외 진출을 위해 현지 법인을 설립하고 물류 인프라를 구축할 예정이다. 특히 빅데이터를 활용해 해외 소비자의 반응을 분석하고, 이를 기반으로 상품을 기획 및 생산해 차별화된 경쟁력을 확보한다는 전략이다.캡스톤파트너스의 송진화 심사역은 “이스트엔드는 패션 브랜드 시장에서 다년간 쌓아온 노하우와 패션 이커머스 시장 내 성장세, 해외 생산 기획력을 높이 평가하여 후속 투자를 결정했다. 향후 국내 오프라인 시장과 해외 시장 모두에서 이스트엔드의 성장이 기대된다”고 밝혔다.이스트엔드 김동진 대표는 “이번 투자를 통해 이스트엔드는 국내 패션 이커머스 시장의 선두 주자로 도약할 수 있는 발판을 마련했다”며, “자체 생산 시스템 및 브랜드 육성 역량을 강화해 고객들에게 차별화된 패션 경험을 제공하기 위해 최선을 다하겠다”고 밝혔다.

"
"플리츠마마, <b>일본</b> 이어 홍콩 진출…아시아 진출 박차","

홍콩 로그온 온·오프라인 매장서 독점 판매추후 홍콩 내 매장 전체로 확대[이데일리 백주아 기자] 플리츠마마는 일본에 이어 홍콩 라이프스타일 전문 스토어 ‘로그온‘온라인과 오프라인 매장에 신규 입점하며 아시아 권역 진출에 박차를 가한다고 1일 밝혔다. 



플리츠마마, 홍콩 로그온 매장 내부. (사진=플리츠마마)플리츠마마는 홍콩 ‘로그온’과 제품 판매 독점 계약을 맺고 이날부터 ‘로그온’ 온라인몰 및 코즈웨이베이, 침사추이, 카우룬통 등 홍콩 중심 지역 내 오프라인 5개 지점에 입점한다. 추후 홍콩 내 ‘로그온’13개 매장 전체에 입점해 홍콩 고객들과의 접점을 더욱 확대해 나갈 예정이다.  ‘로그온’은 1996년 설립된 유통 전문 체인인 ‘시티 슈퍼’ 그룹 산하 브랜드로, 패션·뷰티를 포함해 다양한 액세서리와 웰니스 카테고리까지 전 세계의 트렌디한 제품을 모아 선보이는 대형 라이프스타일 전문 스토어다. 현재 홍콩 주요 쇼핑 중심가에서 총 13개의 매장을 운영하고 있다. 이번 입점을 통해 홍콩 ‘로그온’ 매장에서는 플리츠마마의 베스트셀러인 ‘투웨이쇼퍼백’과 ‘토트백’, ‘나노백’ 등 다양한 다양한 인기 상품을 판매한다. 플리츠마마는 홍콩 ‘로그온’ 입점에 앞서 지난 7월, 일본 도쿄에서 첫 해외 팝업인 ‘플리츠마마 재팬 팝업 숍’을 열었으며, 지난 11월에는 홍콩에서 개최된 지속 가능 전시 ’성실한 공예‘에 참여해 아시아 국가 소비자 대상 지속 가능 브랜드로서 제품을 선보인 바 있다. 이번 ‘로그온’공식 입점을 시작으로 아시아 권역으로 글로벌 유통 활로를 더욱 넓혀 나갈 계획이다.왕종미 플리츠마마 왕종미 대표는 “홍콩은 패션과 지속 가능성에 모두 관심이 높은 지역으로 평소 눈여겨보던 시장”이라며 “로그온 입점을 시작으로 플리츠마마가 추구하는 패션의 가치를 전 세계적으로 널리 알리겠다”라고 말했다. 플리츠마마는 2020년 국내 최초로 폐자원의 국산화를 이룬 브랜드다. 모든 제품을 국내에서 수거한 폐페트병을 활용한 리사이클 원사로 제작했으며, 3D 니팅 생산기법으로 ’제로 웨이스트‘ 가치를 추구한다. 지난 2020년 4월, ’다시 태어나기 위한 되돌림‘ 프로젝트를 통해 제주도 폐페트병을 패션 아이템으로 재탄생시켰으며, 이후 서울시, 여수 항만으로 지역을 확장해가며 자원 순환에 기여하고 있다.2017년 국내 최초 플리츠백을 선보인 플리츠마마는 재활용과 새활용을 넘어 ‘나’로 시작하는 보다 가치 있는 활용과 소비를 통해 아름다운(美) 선순환을 완성하는 ‘미사이클’이라는 새로운 소비 개념을 제안한다. 플리츠마마는 재활용과 새활용을 거쳐 새롭게 탄생한 제품이 다시 버려지지 않고 소비자들의 선택을 받을 수 있도록, 소비자가 선택한 플리츠마마의 제품이 잘 활용돼 아름다운 순환으로 완성될 수 있도록 ‘미사이클’의 의미를 담았다.

"
"<b>패션</b> 브랜딩 스타트업 이스트엔드, 50억 시리즈B 투자 유치","

BNK벤처투자, 캡스톤파트너스, 우리은행 참여… 누적 투자 130억



사진=이스트엔드  패션 브랜딩 스타트업 이스트엔드가 50억 원 규모의 시리즈B 투자를 유치했다고 1일 밝혔다.이번 투자는 BNK벤처투자, 우리은행이 참여했고, 캡스톤파트너스가 지난 시리즈에 이은 후속 투자자로 참여했다. 이로써 누적 투자액은 130억원이 됐다. 특히 BNK벤처투자와 우리은행은 패션 브랜드 운영사에 대한 첫 투자라서 이목을 끈다. 이스트엔드 측은 이에 대해 ""패션 브랜드 육성 능력과 데이터 기반의 생산·재고 관리 성과를 높이 평가받았다""고 전했다.2016년에 설립된 이스트엔드는 시티브리즈, 아티드, 로즐리, 후머 등 5개의 자체 브랜드를 온라인 D2C (소비자 직접 거래) 기반으로 운영하고 있다. 주요 고객층의 소비 트렌드를 반영, 다양한 디자인의 옷을 소량생산하는 방식을 추구한다. 디자인부터 생산, 물류, 마케팅, 판매까지 모든 과정을 내재화해 고품질 상품을 합리적인 가격에 제공한다. 또 온라인 판매에 적합한 반응형 생산체제를 구축, 오프라인 매장 중심의 브랜드 보다 낮은 재고율을 나타낸다.이스트엔드의 누적 거래액은 2022년 기준 500억원을 넘어섰으며, 연간 90% 이상의 성장세를 이어 가고 있다.이스트엔드 관계자는 ""이번 투자금은 브랜드 경쟁력 강화와 글로벌 진출을 위한 기반 마련에 쓸 계획""이라고 말했다. 주로 중국, 일본, 동남아시아  시장 진출을 목표로 하며, 현지 법인을 설립하고 물류 인프라를 구축할 예정이다. 캡스톤파트너스의 송진화 심사역은 ""이스트엔드는 패션 브랜드 시장에서 다년간 쌓아온 노하우와 패션 이커머스 시장 내 성장세, 해외 생산 기획력을 높이 평가해 후속 투자를 결정했다""며 ""향후 국내 오프라인 시장과 해외 시장 모두에서 이스트엔드의 성장이 기대된다""고 밝혔다.김동진 이스트엔드 대표는 ""이번 투자를 통해 이스트엔드는 국내 패션 이커머스 시장의 선두 주자로 도약할 수 있는 발판을 마련했다""며, ""자체 생산 시스템 및 브랜드 육성 역량을 강화해 고객들에게 차별화된 패션 경험을 제공하기 위해 최선을 다하겠다""고 말했다.[머니투데이 스타트업 미디어 플랫폼 '유니콘팩토리']

"
<b>일본</b>서 만난 제니X박서준..노래 부르는 제니에 &apos;홀릭&apos;,"
 
사진='엘르 싱가포르', '엘르 코리아' SNS 영상 캡처[스포츠조선닷컴 정유나 기자] 그룹 블랙핑크 제니와 배우 박서준이 일본에서 우월한 비주얼을 뽐냈다.2일 패션 매거진 '엘르 코리아' 측은 ""샤넬의 2022/23 공방 컬렉션이 도쿄를 배경으로 다시 한번 펼쳐졌다. 이번 쇼를 축하하기 위해 제니, 박서준, 크리스틴 스튜어트, 고마츠 나나 등 하우스의 앰버서더들 역시 빠지지 않고 참석했다""며 제니가 컬렉션에 참석한 영상을 게재했다. 
사진='엘르 코리아' SNS 영상 캡처'엘르 싱가포르'도 제니와 박서준이 쇼에 참석해 나란히 투샷을 찍는 모습이 담긴 영상을 게재했다. 두 사람은 다정한 포즈와 선남선녀 비주얼로 설레는 투샷을 완성해내 감탄을 자아낸다.특히 이번 쇼에서 제니는 프랭크 시나트라의 '플라이 미 투 더 문'을 포함한 노래를 부르며 매혹적인 퍼포먼스를 선보여 눈길을 끌었다.해당 명품 브랜드의 앰버서더인 제니와 박서준은 지난 3월 프랑스 파리에서 열린 컬렉션 쇼에도 참석해 화제를 모은 바 있다.
"
"<b>패션</b> 브랜딩 스타트업 이스트엔드, 50억원 규모 시리즈B 투자 유치","

캡스톤파트너스·BNK벤처투자·우리은행 참여누적 투자액 130억원[이데일리 김근우 기자] 패션 브랜딩 스타트업 이스트엔드가 시리즈B 투자로 50억원을 유치했다고 1일 밝혔다.



이번 투자는 BNK벤처투자, 우리은행이 참여했으며, 캡스톤파트너스는 지난 시리즈에 이은 후속 투자자로 나섰다. 이스트엔드의 누적 투자액은 130억원이 됐다. BNK벤처투자와 우리은행은 이스트엔드만의 패션 브랜드 육성 능력과 데이터 기반의 생산 및 재고 관리 성과 등을 높이 평가해 패션 브랜드 운영사에 대한 첫 투자를 단행한 것으로 알려졌다.2016년에 설립된 이스트엔드는 시티브리즈, 아티드, 로즐리, 후머 등 5개의 자체 브랜드를 온라인 D2C 기반으로 운영하고 있다. 주요 고객 층의 소비 트렌드를 반영해 다양한 디자인의 옷을 소량생산하며 디자인부터 생산, 물류, 마케팅 및 판매 등 과정을 내재화해 고품질의 상품을 합리적인 가격에 제공하는 것을 추구한다. 또한 온라인 판매에 적합한 반응형 생산체제를 구축해 오프라인 매장 중심의 브랜드 보다 낮은 재고율을 지향한다.이스트엔드의 자체 브랜드는 무신사, W컨셉, 29CM 등 주요 패션 플랫폼에 입점해 있다. 누적 거래액은 지난해 기준 500억원을 돌파했으며, 연간 90% 이상의 성장세를 이어 가고 있다는 게 회사 측의 설명이다.이스트엔드는 이번 투자를 통해 브랜드 경쟁력 강화와 글로벌 진출을 위한 기반 마련에 주력할 계획이다. 브랜드 리뉴얼과 마케팅으로 고객과의 접점을 확대해 국내 시장에서 입지를 더욱 공고히 한다는 방침이다.중국, 일본, 동남아시아 등 해외 시장 진출도 목표로 하고 있다. 본격적인 해외 진출을 위해 현지 법인을 설립하고 물류 인프라를 구축할 예정이다. 특히 빅데이터를 활용해 해외 소비자의 반응을 분석하고, 이를 기반으로 상품을 기획 및 생산해 차별화된 경쟁력을 확보한다는 전략이다.송진화 캡스톤파트너스 심사역은 “이스트엔드가 패션 브랜드 시장에서 다년간 쌓아온 노하우와 패션 이커머스 시장 내 성장세, 해외 생산 기획력을 높이 평가해 후속 투자를 결정했다”며 “향후 국내 오프라인 시장과 해외 시장 모두에서 이스트엔드의 성장이 기대된다”고 밝혔다.김동진 이스트엔드 대표는 “이번 투자를 통해 이스트엔드는 국내 패션 이커머스 시장의 선두 주자로 도약할 수 있는 발판을 마련했다”며 “자체 생산 시스템 및 브랜드 육성 역량을 강화해 고객들에게 차별화된 패션 경험을 제공하기 위해 최선을 다하겠다”고 밝혔다.

"
네이버가 300억 투자한 <b>패션</b> 플랫폼 ‘브랜디’ 자금 수혈 필요,"

패션업계 ‘야놀자’ 노렸지만, 유동성 위기영업적자 지속, 추가 투자 유치 절실여성 쇼핑 플랫폼 브랜디(BRANDI)가 자금난을 겪고 있다. 그동안 에이블리·지그재그와 어깨를 나란히 하며 존재감을 키워왔지만, 유동성 위기를 맞았다.1일 투자은행(IB) 업계에 따르면 브랜디의 '런웨이(추가 자금 투입 없이 버틸 수 있는 기간)'는 6개월이다. 최근 내부적으로 이 같은 판단을 내린 것으로 전해진다. 손익분기점(BEP)을 맞춘 상황이 아닐 경우 런웨이는 맞아떨어지는 편이다.



IB업계 관계자는 “브랜디는 추가로 투자를 유치해야만 생존이 가능한 상태에 놓였다”며 “여전히 투자심리가 얼어붙어 있어 위기를 헤쳐나가기에 녹록지 않은 상황”이라고 말했다. 이어 “현재로선 기존 주주로부터 추가로 자금을 받는 게 최선일 것”이라며 “남은 6개월 안에 투자금을 확보할지는 미지수”라고 덧붙였다.런웨이 기간이 짧아지면 회사는 비용을 줄일 수밖에 없다. 스타트업의 비용 대부분은 인건비다. 이 때문에 업계에선 브랜디가 구조조정에 나설 가능성에 촉각을 곤두세우고 있다. 인력을 줄이면 그만큼 경쟁사에 밀릴 수밖에 없기에, 어떤 선택을 내릴지 주목된다.이와 관련, 브랜디 관계자는 “현재 최소 12개월 이상으로 필요한 자금을 확보하고 있다”며 “최근 비용 절감과 서비스 브랜디와 하이버에 도입한 광고 매출 상승으로 현재 런웨이는 계속적으로 늘어나고 있는 상태”라고 말했다. 그러면서 “각 서비스에 도입한 광고 모델 활성화, 해외 협업 등을 통해 사업을 강화하고 있어 앞으로의 수익성은 더욱 호전될 것으로 기대한다”고 덧붙였다.브랜디의 주요 투자자는 한국산업은행, 에이티넘인베스트먼트, 빅베이슨캐피탈, 미래에셋벤처투자, 브리즈인베스트먼트, K2인베스트먼트파트너스, 한국투자증권, DS자산운용, 네이버 등이다. 브랜디는 그동안 벤처캐피탈(VC)을 중심으로 다양한 재무적 투자자(FI)를 확보했다.특히 네이버가 브랜디의 상당한 지분을 보유하고 있다. 네이버는 2020년 9월 단독으로 브랜디에 100억원 규모의 투자금을 집행했다. 이어 이듬해 8월 200억원을 추가로 베팅했다. 이로써 누적 투자금 300억원을 기록하며 사업적 협력을 강화했다. 브랜디는 네이버 투자를 통해 일본 시장에 진출했다.온라인 패션 플랫폼이 성장하면서 카카오는 지그재그, 신세계는 W컨셉 등을 인수했다. 네이버는 브랜디로 본격 협업에 나섰다. 브랜디는 네이버 투자를 받은 후 밸류에이션(기업가치) 1조원을 인정받으며 상승 곡선을 그렸다. ‘유니콘’ 등극이 가시화됐다는 평가를 받았지만, 성장은 오래 이어지지 못했다.브랜디의 지난해 매출은 1172억원을 기록했다. 이는 전년 동기 대비 7.1% 감소한 수준이다. 같은 기간 영업적자 321억원, 당기순손실 691억원을 기록하면서 적자 늪에 빠졌다. 몸집은 크지만, 수익성은 뒷걸음질 치고 있다. 플랫폼업 특성상 단기간에 손익분기점을 달성하기에는 한계가 있다는 지적이 나온다.2014년 12월 설립된 브랜디는 여성 패션 플랫폼 ‘브랜디’, 남성 패션 플랫폼 ‘하이버’ 그리고 패션 풀필먼트 서비스 ‘헬피’를 운영하고 있다. 자회사 아비드이앤에프는 2019년 설립됐으며 동대문 풀필먼트 인프라를 기반으로 도매상과 소매상을 잇는 기업 간 거래(B2B) 플랫폼 ‘트랜디’를 운영 중이다.

"
