,gender,car,reality,child_num,income_total,income_type,edu_type,family_type,house_type,DAYS_BIRTH,DAYS_EMPLOYED,work_phone,phone,email,occyp_type,family_size,begin_month,id
0,F,N,N,0,202500.0,Commercial associate,Higher education,Married,Municipal apartment,-13899,-4709,0,0,0,NaN,2.0,-6.0,0
1,F,N,Y,1,247500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-11380,-1540,0,0,1,Laborers,3.0,-5.0,1
2,M,Y,Y,0,450000.0,Working,Higher education,Married,House / apartment,-19087,-4434,0,1,0,Managers,2.0,-22.0,2
3,F,N,Y,0,202500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15088,-2092,0,1,0,Sales staff,2.0,-37.0,3
4,F,Y,Y,0,157500.0,State servant,Higher education,Married,House / apartment,-15037,-2105,0,0,0,Managers,2.0,-26.0,4
5,F,N,Y,2,270000.0,Working,Secondary / secondary special,Married,House / apartment,-13413,-4996,0,0,1,High skill tech staff,4.0,-18.0,5
6,F,N,N,0,315000.0,Working,Secondary / secondary special,Separated,House / apartment,-17570,-1978,0,0,1,Core staff,1.0,-41.0,6
7,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14896,-5420,0,0,1,Drivers,2.0,-53.0,7
8,M,Y,Y,1,180000.0,Commercial associate,Higher education,Married,House / apartment,-15131,-1466,0,0,1,NaN,3.0,-38.0,8
9,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-15785,-1308,0,0,0,Medicine staff,2.0,-5.0,9
10,F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,-19063,-2213,1,1,1,Laborers,1.0,-40.0,10
11,M,Y,Y,1,135000.0,Commercial associate,Higher education,Married,House / apartment,-11759,-91,0,0,0,Managers,3.0,-51.0,11
12,F,Y,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11938,-2162,0,0,0,Accountants,3.0,-60.0,12
13,F,N,N,0,135000.0,Working,Higher education,Married,House / apartment,-9887,-2474,0,1,0,Sales staff,2.0,-41.0,13
14,F,N,Y,0,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22922,365243,0,1,0,NaN,1.0,-41.0,14
15,M,Y,Y,2,157500.0,Working,Secondary / secondary special,Married,With parents,-12859,-4056,0,1,0,Drivers,4.0,-60.0,15
16,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19408,-4553,0,1,0,Laborers,2.0,-2.0,16
17,M,N,N,0,270000.0,Commercial associate,Secondary / secondary special,Civil marriage,With parents,-8853,-984,0,0,1,Sales staff,2.0,-14.0,17
18,F,N,Y,0,216000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23113,365243,0,0,0,NaN,2.0,-37.0,18
19,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13727,-6031,0,0,0,NaN,2.0,-7.0,19
20,M,N,N,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-19850,-1753,0,1,0,NaN,2.0,-35.0,20
21,F,N,N,0,157500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21253,365243,0,1,0,NaN,2.0,-7.0,21
22,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-15198,-1357,0,0,0,Laborers,2.0,-22.0,22
23,M,Y,N,0,225000.0,Working,Secondary / secondary special,Married,Municipal apartment,-14542,-444,1,1,1,NaN,2.0,-18.0,23
24,F,N,N,0,202500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-22361,365243,0,1,0,NaN,1.0,-5.0,24
25,F,N,Y,1,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14058,-3694,0,0,0,Realty agents,3.0,-4.0,25
26,M,Y,N,1,135000.0,Working,Higher education,Married,House / apartment,-17843,-3353,1,0,0,Laborers,3.0,-13.0,26
27,M,Y,Y,0,405000.0,State servant,Secondary / secondary special,Married,House / apartment,-17309,-3500,0,0,0,NaN,2.0,-57.0,27
28,M,Y,N,0,112500.0,Commercial associate,Secondary / secondary special,Married,With parents,-22111,-2325,1,1,0,Drivers,2.0,-47.0,28
29,F,N,Y,0,121500.0,Commercial associate,Secondary / secondary special,Married,Co-op apartment,-12017,-1711,0,1,0,Sales staff,2.0,-22.0,29
30,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13188,-227,0,0,0,Managers,2.0,-33.0,30
31,M,Y,Y,0,135000.0,Commercial associate,Higher education,Married,House / apartment,-11762,-3452,1,0,1,Laborers,2.0,-18.0,31
32,F,N,Y,0,135000.0,Working,Higher education,Married,House / apartment,-13299,-1628,0,0,0,Laborers,2.0,-2.0,32
33,M,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-19200,-346,0,1,0,High skill tech staff,2.0,-30.0,33
34,M,Y,Y,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-14488,-1630,0,1,0,Laborers,3.0,-22.0,34
35,F,Y,N,0,225000.0,Working,Higher education,Civil marriage,House / apartment,-14438,-2433,0,0,0,Managers,2.0,-20.0,35
36,F,Y,N,0,225000.0,Working,Higher education,Single / not married,House / apartment,-20200,-1022,1,1,0,Accountants,1.0,-14.0,36
37,M,Y,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,With parents,-16653,-1646,0,0,0,Drivers,2.0,-8.0,37
38,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-13582,-3472,0,0,0,Sales staff,2.0,-41.0,38
39,M,Y,Y,2,112500.0,Working,Secondary / secondary special,Married,House / apartment,-13022,-1600,0,0,0,Laborers,4.0,-39.0,39
40,M,Y,Y,0,90900.0,Working,Secondary / secondary special,Married,House / apartment,-21700,-2426,0,0,0,Laborers,2.0,-21.0,40
41,F,N,Y,2,99000.0,Commercial associate,Higher education,Married,House / apartment,-12752,-433,0,1,0,Accountants,4.0,-19.0,41
42,M,N,N,1,270000.0,Working,Secondary / secondary special,Married,House / apartment,-9943,-554,1,0,0,Managers,3.0,-35.0,42
43,F,N,N,0,67500.0,Working,Secondary / secondary special,Married,House / apartment,-9963,-1876,0,0,0,Sales staff,2.0,-8.0,43
44,M,N,N,0,247500.0,Working,Higher education,Civil marriage,House / apartment,-15125,-199,0,0,0,Drivers,2.0,-26.0,44
45,M,Y,N,0,405000.0,Working,Higher education,Married,House / apartment,-18655,-3200,1,1,0,High skill tech staff,2.0,-4.0,45
46,F,N,N,0,135000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-21100,365243,0,1,0,NaN,1.0,-24.0,46
47,F,Y,Y,0,292500.0,Commercial associate,Higher education,Married,House / apartment,-18409,-3482,0,0,0,Sales staff,2.0,-48.0,47
48,F,N,Y,0,99000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23585,365243,0,0,0,NaN,2.0,-4.0,48
49,F,N,Y,0,585000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18858,-2010,0,1,0,NaN,2.0,-12.0,49
50,F,Y,N,1,90000.0,Working,Secondary / secondary special,Married,House / apartment,-13951,-1101,1,0,0,Sales staff,3.0,-4.0,50
51,M,Y,Y,0,495000.0,Working,Incomplete higher,Married,With parents,-8917,-1101,0,0,1,Drivers,2.0,-10.0,51
52,F,N,Y,0,54000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-24044,365243,0,1,0,NaN,2.0,-37.0,52
53,F,Y,Y,2,306000.0,State servant,Higher education,Married,House / apartment,-13541,-3965,0,0,0,Core staff,4.0,-42.0,53
54,F,N,N,1,99000.0,Working,Secondary / secondary special,Married,House / apartment,-15626,-422,0,0,0,NaN,3.0,-2.0,54
55,F,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13856,-3010,0,0,0,Laborers,2.0,-24.0,55
56,F,Y,Y,0,130500.0,Working,Secondary / secondary special,Married,House / apartment,-16137,-9391,0,1,0,Laborers,2.0,-29.0,56
57,F,N,Y,0,225000.0,Commercial associate,Higher education,Single / not married,House / apartment,-17031,-642,0,0,0,Core staff,1.0,-3.0,57
58,F,N,Y,0,144000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23334,365243,0,0,0,NaN,2.0,-23.0,58
59,F,N,Y,0,360000.0,Pensioner,Higher education,Married,House / apartment,-22985,365243,0,1,0,NaN,2.0,-25.0,59
60,M,Y,Y,0,112500.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-21397,365243,0,0,0,NaN,1.0,-1.0,60
